,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%)
66,90.83,57.1,36.3,1.64,1.044,2.498,58.2
67,92.16,64.5,39.2,1.571,0.955,2.399,60.2
68,93.88,66.4,39.9,1.6380000000000001,0.9840000000000001,2.72,63.8
69,95.41,52.0,34.2,1.7890000000000001,1.177,2.924,59.8
70,98.89,54.5,35.3,1.6059999999999999,1.04,2.327,55.3
71,100.56,64.6,39.2,1.6480000000000001,1.002,2.718,63.1
72,101.9,53.5,34.8,1.581,1.03,2.228,53.8
73,103.4,39.4,28.3,1.883,1.351,2.815,52.0
74,104.91,45.8,31.4,1.831,1.256,2.866,56.2
75,106.03,49.2,33.0,1.787,1.197,2.822,57.6
76,107.28,49.9,33.3,1.736,1.158,2.659,56.4
77,108.45,58.7,37.0,1.706,1.075,2.802,61.6
78,109.96,46.9,31.9,1.81,1.232,2.8280000000000003,56.4
79,111.39,58.7,37.0,1.7180000000000002,1.082,2.853,62.1
80,112.96,46.3,31.6,1.815,1.2409999999999999,2.825,56.1
81,114.51,49.4,33.1,1.729,1.157,2.6189999999999998,55.8
82,115.63,53.7,34.9,1.7519999999999998,1.14,2.833,59.8
83,116.52,47.6,32.2,1.8030000000000002,1.222,2.827,56.8
84,117.948,31.5,23.9,1.8219999999999998,1.385,2.4130000000000003,42.6
85,119.454,52.2,34.3,1.775,1.166,2.8760000000000003,59.5
86,120.931,51.4,33.9,1.777,1.1740000000000002,2.855,58.9
87,122.43700000000001,47.1,32.0,1.819,1.237,2.866,56.8
88,123.934,42.7,29.9,1.824,1.2790000000000001,2.737,53.3
89,125.001,66.4,39.9,1.68,1.01,2.9219999999999997,65.5
90,126.162,44.4,30.8,1.88,1.3019999999999998,2.992,56.5
91,127.661,62.3,38.4,1.662,1.024,2.714,62.3
92,129.121,51.7,34.1,1.7619999999999998,1.162,2.81,58.7
93,130.58100000000002,34.8,25.8,1.91,1.4169999999999998,2.73,48.1
94,132.041,43.6,30.4,1.9080000000000001,1.328,3.06,56.6
95,133.481,44.5,30.8,1.8319999999999999,1.268,2.824,55.1
96,134.534,43.6,30.4,1.8130000000000002,1.262,2.733,53.8
97,135.68,40.0,28.6,1.875,1.339,2.8080000000000003,52.3
98,137.53,52.5,34.4,1.764,1.157,2.845,59.3
99,138.65,42.6,29.9,1.929,1.3530000000000002,3.094,56.3
100,140.0,46.1,31.5,1.817,1.244,2.826,56.0
101,141.48,35.5,26.2,1.889,1.3940000000000001,2.7,48.4
102,142.7,44.1,30.6,1.834,1.272,2.818,54.8
103,143.71,47.8,32.3,1.7630000000000001,1.193,2.6919999999999997,55.7
104,145.44899999999998,55.4,35.7,1.756,1.13,2.908,61.1
105,148.405,41.6,29.4,1.855,1.311,2.8,53.2
106,151.40200000000002,60.7,37.8,1.666,1.036,2.6889999999999996,61.5
107,155.57399999999998,35.5,26.2,1.923,1.42,2.7939999999999996,49.2
108,157.458,49.4,33.1,1.739,1.1640000000000001,2.656,56.2
109,164.21,40.1,28.6,1.8940000000000001,1.3519999999999999,2.872,52.9
110,167.21,40.8,29.0,1.875,1.3319999999999999,2.838,53.1
111,171.28,50.2,33.4,1.7590000000000001,1.171,2.752,57.4
112,173.87,48.4,32.6,1.778,1.198,2.764,56.6
113,176.77,49.2,33.0,1.771,1.187,2.763,57.0
114,180.615,52.9,34.6,1.7619999999999998,1.1520000000000001,2.8489999999999998,59.6
115,183.47099999999998,45.4,31.2,1.819,1.251,2.8080000000000003,55.4
116,186.278,43.5,30.3,1.829,1.274,2.78,54.2
117,188.15900000000002,48.7,32.8,1.831,1.2309999999999999,2.971,58.6
118,190.267,50.6,33.6,1.778,1.181,2.8339999999999996,58.3
119,193.297,58.0,36.7,1.685,1.0659999999999998,2.693,60.4
120,194.739,49.2,33.0,1.818,1.219,2.937,58.5
121,195.16099999999997,47.6,32.2,1.8019999999999998,1.2209999999999999,2.823,56.7
122,196.542,37.3,27.2,1.8530000000000002,1.35,2.655,49.2
123,198.727,47.1,32.0,1.774,1.206,2.71,55.5
124,201.507,46.4,31.7,1.8159999999999998,1.24,2.833,56.2
125,204.451,49.2,33.0,1.78,1.193,2.7960000000000003,57.3
126,206.535,39.4,28.3,1.973,1.416,3.109,54.5
127,209.43099999999998,40.6,28.9,1.881,1.338,2.8480000000000003,53.0
128,212.364,45.7,31.4,1.7690000000000001,1.214,2.6519999999999997,54.2
129,215.365,45.3,31.2,1.8230000000000002,1.255,2.822,55.5
130,219.113,41.4,29.3,1.831,1.295,2.718,52.4
131,222.076,39.4,28.2,1.9380000000000002,1.391,2.987,53.4
132,225.019,40.5,28.8,1.864,1.327,2.7910000000000004,52.5
133,238.27,43.9,30.5,1.86,1.2919999999999998,2.9,55.4
134,241.213,49.5,33.1,1.785,1.194,2.823,57.7
135,244.155,45.4,31.2,1.7890000000000001,1.2309999999999999,2.707,54.5
136,247.85299999999998,52.6,34.5,1.7890000000000001,1.173,2.95,60.2
137,250.75400000000002,35.1,26.0,1.9380000000000002,1.435,2.821,49.1
138,253.805,47.5,32.2,1.814,1.23,2.861,57.0
139,257.447,38.4,27.8,1.893,1.367,2.8080000000000003,51.3
140,260.447,40.5,28.8,1.8430000000000002,1.311,2.7260000000000004,51.9
141,263.281,42.4,29.8,1.879,1.32,2.907,54.6
142,265.42,36.6,26.8,1.92,1.405,2.826,50.3
143,268.97,37.8,27.4,1.91,1.386,2.838,51.2
144,275.351,42.7,29.9,1.828,1.281,2.7510000000000003,53.4
145,278.286,42.4,29.8,1.895,1.331,2.9610000000000003,55.1
146,281.369,39.4,28.3,1.8840000000000001,1.351,2.8139999999999996,52.0
147,284.88,38.6,27.8,1.8940000000000001,1.367,2.818,51.5
148,286.55,42.4,29.8,1.8430000000000002,1.294,2.7910000000000004,53.6
149,287.87,37.4,27.2,1.881,1.369,2.738,50.0
150,289.72,42.5,29.8,1.9040000000000001,1.3359999999999999,3.0010000000000003,55.5
151,291.28,35.9,26.4,1.93,1.42,2.826,49.7
152,292.53,39.6,28.4,1.883,1.349,2.818,52.1
153,295.02,40.2,28.7,1.871,1.334,2.804,52.4
154,296.14,36.4,26.7,1.86,1.364,2.645,48.4
155,297.89,35.3,26.1,1.995,1.474,2.9989999999999997,50.8
156,298.24,38.6,27.9,1.901,1.371,2.839,51.7
157,306.15,37.1,27.1,1.9169999999999998,1.3980000000000001,2.8339999999999996,50.7
158,309.12,32.4,24.5,1.984,1.4980000000000002,2.847,47.4
159,312.16,40.4,28.8,1.857,1.3230000000000002,2.766,52.2
160,315.96,32.6,24.6,1.996,1.505,2.889,47.9
161,325.59,40.3,28.7,1.885,1.344,2.8489999999999998,52.8
162,328.39,54.0,35.1,1.7469999999999999,1.135,2.825,59.8
