,Depth CSF-B (m),NGR total counts (cps)
338,13.4,47.70399999999999
339,13.452,31.019000000000002
340,13.452,32.578
341,13.481,42.643
342,13.5,46.596000000000004
343,13.55,33.756
344,13.581,43.75
345,13.6,44.398999999999994
346,13.649000000000001,35.542
347,13.68,45.909
348,13.7,46.573
349,13.747,37.596
350,13.78,47.643
351,13.8,42.443000000000005
352,13.845999999999998,38.954
353,13.88,48.494
354,13.9,38.929
355,13.944,41.653999999999996
356,13.98,48.42100000000001
357,14.0,38.652
358,14.042,38.747
359,14.079,45.691
360,14.1,40.94
361,14.179,45.488
362,14.2,43.01
363,14.2,46.81399999999999
364,14.279000000000002,48.028999999999996
365,14.3,40.786
366,14.379000000000001,46.888999999999996
367,14.4,37.086
368,14.478,46.45
369,14.5,33.522
370,14.578,43.613
371,14.6,29.138
372,14.677999999999999,43.07899999999999
373,14.7,28.378
374,14.777999999999999,46.262
375,14.8,26.680999999999997
376,14.877,41.232
377,14.9,25.778000000000002
378,14.977,48.521
379,15.0,28.229
380,15.077,44.528999999999996
381,15.1,28.212
382,15.175999999999998,43.111999999999995
383,15.2,26.555999999999997
384,15.276,44.816
385,15.3,27.105999999999998
386,15.376,45.501000000000005
387,15.4,28.535999999999998
388,15.475999999999999,44.498000000000005
389,15.5,29.881999999999998
390,15.575,43.498000000000005
391,15.6,32.757
392,15.675,38.604
393,15.7,34.085
394,15.7,44.016000000000005
395,15.775,33.916
396,15.8,44.427
397,15.874,34.145
398,15.9,46.196000000000005
399,15.974,39.591
400,16.0,49.996
401,16.074,36.01
402,16.1,50.031000000000006
403,16.173,34.816
404,16.2,47.091
405,16.273,34.559
406,16.3,46.011
407,16.373,35.041
408,16.4,43.568000000000005
409,16.472,36.778
410,16.5,42.746
411,16.572,37.158
412,16.6,42.262
413,16.672,39.181999999999995
414,16.7,44.966
415,16.771,42.193000000000005
416,16.8,46.86
417,16.9,45.896
418,17.0,41.669
419,17.1,38.189
420,17.2,39.209
421,17.2,42.018
422,17.3,38.632
423,17.4,32.536
424,17.5,32.409
425,17.6,34.010999999999996
426,17.7,35.228
427,17.8,38.781
428,17.9,42.291000000000004
429,18.0,32.286
430,18.1,29.732
431,18.2,31.756
432,18.3,38.885999999999996
433,18.4,42.068999999999996
434,18.5,42.071999999999996
435,18.6,34.661
436,18.7,29.664
437,18.7,31.005
438,18.8,30.234
439,18.9,31.563000000000002
440,19.0,33.982
441,19.1,34.728
442,19.2,34.031
443,19.3,29.101
444,19.4,26.521
445,19.5,27.592
446,19.6,29.269000000000002
447,19.7,29.305999999999997
448,19.8,31.09
449,19.9,28.752
450,20.0,25.859
451,20.1,25.879
452,20.2,26.105
453,20.2,27.636999999999997
454,20.3,28.971999999999998
455,20.4,36.259
456,20.5,32.321999999999996
457,20.6,28.421
458,20.7,25.156999999999996
459,20.8,21.430999999999997
460,20.9,21.328000000000003
461,21.0,19.812
462,21.1,19.529
463,21.2,23.826
464,21.3,33.703
465,21.4,35.005
466,21.41,47.343999999999994
467,21.51,44.206
468,21.61,41.016000000000005
469,21.71,34.571999999999996
470,21.81,32.978
471,21.91,32.312
472,22.01,33.042
473,22.2,30.333000000000002
474,22.296,30.116
475,22.391,34.803000000000004
476,22.487,40.226
477,22.583000000000002,43.083999999999996
478,22.678,41.528
479,22.774,41.328
480,22.87,44.443999999999996
481,22.965,47.012
482,23.061,46.832
483,23.156999999999996,42.563
484,23.252,35.525999999999996
485,23.348000000000003,33.766
486,23.444000000000003,35.872
487,23.539,34.302
488,23.635,28.07
489,23.635,23.706
490,23.730999999999998,23.590999999999998
491,23.826,25.369
492,23.921999999999997,31.103
493,24.018,33.414
494,24.113000000000003,32.591
495,24.209,27.594
496,24.305,28.984
497,24.4,29.561999999999998
498,24.496,31.859
499,24.592,32.883
500,24.686999999999998,33.37
501,24.783,34.369
502,24.879,37.982
503,24.974,38.302
504,25.07,36.199
505,25.07,29.548000000000002
506,25.166,27.92
507,25.261,29.776
508,25.357,33.366
509,25.453000000000003,34.574
510,25.548000000000002,31.497
511,25.644000000000002,29.090999999999998
512,25.74,28.111
513,25.835,27.506
514,25.930999999999997,27.209
515,26.026999999999997,29.363000000000003
516,26.122,28.476
517,26.218000000000004,25.151999999999997
518,26.314,29.0
519,26.409000000000002,30.925
520,26.505,35.332
521,26.601,34.193000000000005
522,26.695999999999998,31.103
523,26.791999999999998,28.386
524,26.888,30.474
525,26.983,33.241
526,27.079,35.628
527,27.175,39.311
528,27.27,41.286
529,27.366,43.849
530,27.462,47.04600000000001
531,27.557,47.77
532,27.653000000000002,46.82899999999999
533,27.749000000000002,46.54600000000001
534,27.844,45.687
535,27.94,44.79
536,27.94,41.284
537,28.035999999999998,40.308
538,28.131,43.173
539,28.226999999999997,48.718999999999994
540,28.323,49.147
541,28.418000000000003,48.651
542,28.514,49.028
543,28.61,49.403999999999996
544,28.705,45.856
545,28.801,43.43600000000001
546,28.897,45.146
547,28.991999999999997,45.67
548,29.088,47.542
549,29.184,45.602
550,29.279,36.972
551,29.375,33.372
552,29.375,31.625999999999998
553,29.471,31.362
554,29.566,34.071999999999996
555,29.662,35.103
556,29.758000000000003,39.647
557,29.853,41.553999999999995
558,29.949,39.201
559,30.045,41.628
560,30.14,42.292
561,30.236,38.385999999999996
562,30.331999999999997,42.5
563,30.427,41.283
564,30.523000000000003,34.149
565,30.619,41.93899999999999
566,30.714000000000002,47.265
567,30.724,48.776
568,30.82,46.806000000000004
569,30.915,45.583
570,31.011,48.269
571,31.107,43.513999999999996
572,31.203000000000003,35.152
573,31.298000000000002,30.206999999999997
574,31.7,44.161
575,31.796999999999997,45.638999999999996
576,31.893,49.193000000000005
577,31.99,47.982
578,32.086999999999996,44.013999999999996
579,32.184,41.446999999999996
580,32.28,39.388000000000005
581,32.376999999999995,33.798
582,32.474000000000004,34.189
583,32.571,41.302
584,32.667,46.0
585,32.764,49.58
586,32.861,49.492
587,32.958,48.278999999999996
588,33.054,50.691
589,33.150999999999996,50.843
590,33.150999999999996,50.193000000000005
591,33.248000000000005,48.873000000000005
592,33.344,46.696000000000005
593,33.441,49.358999999999995
594,33.538000000000004,50.281000000000006
595,33.635,50.593999999999994
596,33.731,49.358000000000004
597,33.828,49.034
598,33.925,47.552
599,34.022,43.842
600,34.118,45.583
601,34.215,47.306000000000004
602,34.312,45.506
603,34.409,45.912
604,34.505,46.677
605,34.602,46.452
606,34.602,50.382
607,34.699,46.578
608,34.795,44.903
609,34.891999999999996,46.022
610,34.989000000000004,45.971000000000004
611,35.086,42.868
612,35.181999999999995,44.298
613,35.279,46.724
614,35.376,48.641999999999996
615,35.473,48.372
616,35.569,44.86
617,35.666,45.593
618,35.763000000000005,50.119
619,35.86,50.226000000000006
620,35.955999999999996,45.172
621,36.053000000000004,47.846000000000004
622,36.15,49.218999999999994
623,36.246,45.493
624,36.343,47.218999999999994
625,36.44,46.184
626,36.537,43.053999999999995
627,36.633,37.468
628,36.73,42.688
629,36.827,46.036
630,36.924,46.57899999999999
631,37.02,41.416000000000004
632,37.117,40.8
633,37.214,41.218999999999994
634,37.311,38.919000000000004
635,37.407,36.289
636,37.504,34.857
637,37.504,36.844
638,37.601,37.29
639,37.698,36.859
640,37.794000000000004,38.423
641,37.891,40.768
642,37.988,31.461
643,38.085,30.864
644,38.181999999999995,35.258
645,38.278,36.846
646,38.375,39.766
647,38.472,42.15
648,38.569,40.413000000000004
649,38.666,35.126
650,38.762,35.536
651,38.859,34.868
652,38.955999999999996,33.832
653,38.955999999999996,32.15
654,39.053000000000004,31.336
655,39.149,30.642
656,39.246,34.806
657,39.343,38.494
658,39.44,37.951
659,39.536,38.051
660,39.633,31.004
661,39.73,27.819000000000003
662,39.827,34.802
663,39.923,43.65
664,40.02,42.04
665,40.117,46.066
666,40.214,52.148999999999994
667,40.31,52.743
668,40.407,52.802
669,40.407,51.585
670,40.504,50.659
671,40.6,49.836000000000006
672,40.696999999999996,44.748999999999995
673,40.794000000000004,40.771
674,40.89,44.934
675,40.986999999999995,47.873000000000005
676,41.2,25.573
677,41.297,24.23
678,41.395,24.116
679,41.492,32.792
680,41.59,32.118
681,41.687,28.671
682,41.785,32.514
683,41.882,40.671
684,41.98,42.708999999999996
685,42.077,44.138999999999996
686,42.175,42.74
687,42.272,45.996
688,42.37,45.326
689,42.467,43.288999999999994
690,42.565,42.422
691,42.662,40.895
692,42.662,42.715
693,42.75899999999999,44.51
694,42.857,45.849
695,42.95399999999999,36.903
696,43.052,27.837
697,43.148999999999994,39.491
698,43.246,48.271
699,43.343999999999994,48.091
700,43.441,46.468999999999994
701,43.538999999999994,49.498999999999995
702,43.636,51.456
703,43.733000000000004,50.6
704,43.831,48.11600000000001
705,43.928000000000004,46.526
706,44.026,41.717
707,44.123000000000005,39.759
708,44.123000000000005,44.648
709,44.22,46.338
710,44.318000000000005,49.076
711,44.415,47.103
712,44.513000000000005,43.161
713,44.61,45.284
714,44.708,45.201
715,44.805,39.721
716,44.903,29.209
717,45.0,22.549
718,45.098,21.453000000000003
719,45.195,32.203
720,45.293,43.496
721,45.39,42.6
722,45.488,34.119
723,45.585,39.7
724,45.681999999999995,35.349000000000004
725,45.78,30.313000000000002
726,45.876999999999995,29.471999999999998
727,45.975,34.684
728,46.071999999999996,35.041
729,46.169,28.704
730,46.266999999999996,31.834
731,46.364,32.562
732,46.461999999999996,29.119
733,46.559,30.803
734,46.656000000000006,36.1
735,46.754,36.919000000000004
736,46.851000000000006,35.492
737,46.949,38.885
