,Depth CSF-B (m),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z
16649,306.76,37.7,1.7,-1.9,9.6,9.9,11.3
16650,306.78,38.2,1.0,-1.5,9.8,10.2,11.5
16651,306.8,39.1,2.0,-1.9,10.4,10.7,12.2
16652,306.82,36.9,1.6,-1.5,9.2,9.5,10.7
16653,306.84,38.4,1.8,-1.8,10.0,10.3,11.7
16654,306.86,36.2,1.5,-1.3,8.8,9.1,10.2
16655,306.88,35.6,0.5,-0.5,8.4,8.8,9.6
16656,306.92,38.2,1.8,-1.3,9.9,10.2,11.4
16657,306.94,36.9,1.6,-0.9,9.2,9.5,10.5
16658,306.96,38.2,1.8,-1.5,9.9,10.2,11.5
16659,306.98,40.4,1.4,-1.2,11.1,11.5,12.8
16660,307.0,40.7,1.5,-1.1,11.3,11.7,13.0
16661,307.02,36.9,0.8,0.6,9.1,9.5,10.0
16662,307.04,39.2,1.2,-0.6,10.4,10.8,11.8
16663,307.06,40.7,0.8,-0.6,11.2,11.7,12.8
16664,307.08,44.2,2.1,-2.2,13.6,14.0,16.0
16665,307.1,48.0,1.5,-1.9,16.2,16.8,19.0
16666,307.12,41.2,1.6,-1.0,11.6,12.0,13.3
16667,307.14,40.2,1.4,-0.7,11.0,11.4,12.5
16668,307.16,36.7,1.6,-0.3,9.1,9.4,10.2
16669,307.18,41.7,1.7,1.8,11.9,12.3,12.5
16670,307.2,47.8,2.1,0.7,16.1,16.6,17.5
16671,307.22,44.1,1.4,2.2,13.4,13.9,14.0
16672,307.24,42.9,1.9,2.4,12.7,13.1,13.1
16673,307.26,44.8,1.6,1.3,13.9,14.4,14.9
16674,307.28,44.9,1.6,0.4,14.0,14.5,15.4
16675,307.3,37.1,1.6,-1.1,9.3,9.6,10.7
16676,307.32,36.4,1.5,-1.0,8.9,9.2,10.2
16677,307.34,36.6,0.7,0.6,8.9,9.3,9.8
16678,307.36,40.6,1.5,-0.1,11.2,11.6,12.5
16679,307.38,40.4,1.4,-0.4,11.1,11.5,12.5
16680,307.4,39.7,1.3,-1.3,10.7,11.1,12.4
16681,307.42,35.8,1.4,-1.1,8.6,8.9,9.9
16682,307.44,38.9,1.2,-1.1,10.2,10.6,11.8
16683,307.46,34.8,1.2,-0.3,8.1,8.4,9.1
16684,307.48,32.5,1.8,-3.3,7.1,7.3,8.8
16685,307.5,37.8,1.0,0.4,9.6,10.0,10.6
16686,307.52,37.7,1.7,-0.5,9.6,9.9,10.8
16687,307.54,35.8,2.3,-2.0,8.7,8.9,10.2
16688,307.56,36.9,2.4,-2.3,9.3,9.5,11.0
16689,307.58,35.4,2.2,-1.1,8.5,8.7,9.7
16690,307.6,36.9,1.6,-1.8,9.2,9.5,10.8
16691,307.62,38.6,1.9,-1.2,10.1,10.4,11.6
16692,307.64,40.6,2.2,-1.4,11.3,11.6,13.0
16693,307.66,41.2,2.3,-1.8,11.7,12.0,13.6
16694,307.68,43.1,1.9,-1.9,12.8,13.2,15.0
16695,307.7,44.9,2.2,-3.3,14.1,14.5,17.1
16696,307.72,45.5,2.3,-3.2,14.5,14.9,17.5
16697,307.74,45.1,2.2,-3.3,14.2,14.6,17.2
16698,307.76,44.1,2.1,-2.9,13.5,13.9,16.2
16699,307.78,43.9,2.0,-2.7,13.4,13.8,16.0
16700,307.8,45.2,2.3,-3.3,14.3,14.7,17.3
16701,307.82,47.2,2.6,-3.8,15.8,16.2,19.3
16702,307.84,49.3,2.3,-4.0,17.3,17.8,21.2
16703,307.86,43.4,2.0,-3.2,13.0,13.4,15.8
16704,307.88,45.4,2.3,-4.1,14.4,14.8,17.8
16705,307.9,50.5,2.5,-3.0,18.3,18.8,21.8
16706,307.92,50.8,2.0,-2.0,18.5,19.1,21.6
16707,307.94,49.1,2.3,-1.2,17.2,17.7,19.6
16708,307.96,47.6,2.0,-0.4,16.0,16.5,17.9
16709,307.98,49.4,1.8,-0.5,17.3,17.9,19.5
16710,308.0,49.9,1.9,-0.1,17.7,18.3,19.7
16711,308.02,48.8,1.7,-0.2,16.8,17.4,18.8
16712,308.04,47.9,0.9,0.1,16.0,16.7,17.9
16713,308.06,47.6,1.5,-0.2,15.9,16.5,17.8
16714,308.08,46.3,1.2,0.3,14.9,15.5,16.5
16715,308.1,44.7,1.5,0.1,13.8,14.3,15.3
16716,308.12,40.4,1.4,-1.7,11.1,11.5,13.0
16717,308.14,41.5,1.6,-2.0,11.8,12.2,13.9
16718,308.16,38.9,1.9,-1.1,10.3,10.6,11.8
16719,308.18,42.0,1.7,-1.9,12.1,12.5,14.2
16720,308.42,37.8,1.8,-0.5,9.7,10.0,10.9
16721,308.44,45.2,2.3,-2.2,14.3,14.7,16.8
16722,308.46,39.2,2.0,-1.4,10.5,10.8,12.1
16723,308.48,37.8,2.6,-1.9,9.8,10.0,11.4
16724,308.5,36.0,2.3,-1.3,8.8,9.0,10.1
16725,308.52,38.4,1.8,-1.2,10.0,10.3,11.5
16726,308.54,36.6,1.5,-0.6,9.0,9.3,10.2
16727,308.56,35.4,1.3,-0.8,8.4,8.7,9.6
16728,308.58,36.4,1.5,-0.4,8.9,9.2,10.0
16729,308.6,35.6,1.4,-0.2,8.5,8.8,9.5
16730,308.62,35.6,1.4,0.2,8.5,8.8,9.4
16731,308.64,35.6,1.4,0.2,8.5,8.8,9.4
16732,308.66,37.5,1.7,-0.8,9.5,9.8,10.8
16733,308.68,38.0,1.8,-0.2,9.8,10.1,10.9
16734,308.7,38.6,1.9,-0.9,10.1,10.4,11.5
16735,308.72,35.8,2.3,-0.4,8.7,8.9,9.7
16736,308.74,37.7,1.7,0.1,9.6,9.9,10.6
16737,308.76,37.5,2.5,-1.1,9.6,9.8,10.9
16738,308.78,36.2,1.5,-0.7,8.8,9.1,10.0
16739,308.8,37.8,1.8,-0.7,9.7,10.0,11.0
16740,308.82,36.7,1.6,-1.2,9.1,9.4,10.5
16741,308.84,38.4,1.8,-0.7,10.0,10.3,11.3
16742,308.86,39.4,1.3,-1.1,10.5,10.9,12.1
16743,308.88,37.3,1.7,-1.1,9.4,9.7,10.8
16744,308.9,36.6,2.4,-0.9,9.1,9.3,10.3
16745,308.92,36.9,1.6,0.3,9.2,9.5,10.1
16746,308.94,38.4,1.8,-0.7,10.0,10.3,11.3
16747,308.96,37.8,1.8,-1.3,9.7,10.0,11.2
16748,308.98,37.8,1.8,-0.7,9.7,10.0,11.0
16749,309.0,38.4,1.8,-1.2,10.0,10.3,11.5
16750,309.02,38.9,1.2,-1.7,10.2,10.6,12.0
16751,309.04,35.8,1.4,-1.4,8.6,8.9,10.0
16752,309.06,32.5,1.8,-0.2,7.1,7.3,7.9
16753,309.08,38.2,1.0,-1.0,9.8,10.2,11.3
16754,309.1,36.0,1.4,-1.0,8.7,9.0,10.0
16755,309.12,41.2,1.6,-2.5,11.6,12.0,13.9
16756,309.14,39.2,2.0,-1.4,10.5,10.8,12.1
16757,309.16,39.6,1.3,-0.5,10.6,11.0,12.0
16758,309.18,43.9,2.0,-1.6,13.4,13.8,15.5
16759,309.2,42.0,2.4,-1.2,12.2,12.5,13.9
16760,309.22,45.1,1.6,-1.2,14.1,14.6,16.2
16761,309.24,45.4,1.7,-0.5,14.3,14.8,16.1
16762,309.26,44.5,1.5,-0.3,13.7,14.2,15.4
16763,309.28,45.9,1.8,-1.0,14.7,15.2,16.8
16764,309.3,44.7,2.2,-0.8,13.9,14.3,15.7
16765,309.32,44.2,2.1,-0.6,13.6,14.0,15.3
16766,309.34,47.4,2.0,0.2,15.8,16.3,17.4
16767,309.36,46.8,2.5,1.0,15.5,15.9,16.6
16768,309.38,47.5,2.6,0.9,16.0,16.4,17.2
16769,309.4,48.3,2.2,-0.1,16.5,17.0,18.3
16770,309.42,49.4,1.8,0.0,17.3,17.9,19.2
16771,309.44,48.3,1.6,-0.1,16.4,17.0,18.3
16772,309.46,50.2,2.5,-0.6,18.1,18.6,20.3
16773,309.48,47.6,1.5,1.3,15.9,16.5,17.1
16774,309.5,50.5,2.0,0.4,18.2,18.8,20.0
16775,309.52,48.9,2.3,1.2,17.0,17.5,18.2
16776,309.54,50.6,2.0,-0.9,18.3,18.9,20.8
16777,309.56,38.4,1.8,-1.8,10.0,10.3,11.7
16778,309.58,38.7,1.1,-1.7,10.1,10.5,11.9
16779,309.6,38.6,1.9,-2.3,10.1,10.4,12.0
16780,309.62,39.1,2.0,-2.4,10.4,10.7,12.4
16781,309.64,38.0,1.8,-2.4,9.8,10.1,11.7
16782,309.66,36.2,2.3,-1.6,8.9,9.1,10.3
16783,309.68,35.0,1.3,-1.5,8.2,8.5,9.6
16784,309.7,35.0,1.3,-1.5,8.2,8.5,9.6
16785,309.72,36.9,1.6,-1.8,9.2,9.5,10.8
16786,309.74,32.3,1.7,-1.3,7.0,7.2,8.1
16787,309.76,37.7,1.7,-2.7,9.6,9.9,11.6
16788,309.78,37.1,1.6,-2.0,9.3,9.6,11.0
16789,309.8,36.6,2.4,-1.8,9.1,9.3,10.6
16790,309.82,39.1,2.7,-1.9,10.5,10.7,12.2
16791,309.84,36.9,2.4,-1.8,9.3,9.5,10.8
16792,309.86,39.9,2.1,-1.2,10.9,11.2,12.5
16793,309.88,39.1,2.0,-1.1,10.4,10.7,11.9
16794,309.92,44.1,2.1,-1.8,13.5,13.9,15.7
16795,309.94,38.6,1.9,-1.2,10.1,10.4,11.6
16796,309.96,37.5,1.7,-1.4,9.5,9.8,11.0
16797,309.98,38.0,1.8,-0.7,9.8,10.1,11.1
16798,310.0,34.4,2.1,-1.6,8.0,8.2,9.3
16799,310.02,30.9,1.5,0.0,6.4,6.6,7.1
16800,310.04,31.8,0.6,-0.3,6.7,7.0,7.6
16801,310.06,33.6,1.9,-1.7,7.6,7.8,8.9
16802,310.08,35.8,1.4,-1.4,8.6,8.9,10.0
16803,310.1,39.1,2.0,-3.0,10.4,10.7,12.6
16804,310.12,39.6,2.0,-2.3,10.7,11.0,12.7
16805,310.14,35.6,1.4,-1.4,8.5,8.8,9.9
16806,310.16,37.5,1.7,-1.9,9.5,9.8,11.2
16807,310.18,33.8,1.0,-1.1,7.6,7.9,8.8
16808,310.2,36.9,1.6,-1.8,9.2,9.5,10.8
16809,310.22,35.2,2.2,-1.8,8.4,8.6,9.8
16810,310.24,36.0,2.3,-2.2,8.8,9.0,10.4
16811,310.26,39.7,1.3,-1.5,10.7,11.1,12.5
