,Depth CSF-B (m),Bulk density (GRA)
542,3.95,1.7209999999999999
543,3.96,1.453
544,3.972,1.706
545,3.975,1.82
546,3.985,1.49
547,3.991,1.442
548,3.997,1.653
549,4.0,1.645
550,4.0089999999999995,1.719
551,4.016,1.4709999999999999
552,4.022,1.72
553,4.025,1.4140000000000001
554,4.034,1.5190000000000001
555,4.041,1.4969999999999999
556,4.046,1.7209999999999999
557,4.05,1.3730000000000002
558,4.059,1.778
559,4.066,1.53
560,4.071000000000001,1.79
561,4.075,1.368
562,4.083,1.594
563,4.091,1.547
564,4.095,1.526
565,4.1,1.449
566,4.1080000000000005,1.755
567,4.115,1.83
568,4.12,1.565
569,4.125,1.4769999999999999
570,4.132,1.595
571,4.14,1.74
572,4.144,1.432
573,4.15,1.464
574,4.157,1.525
575,4.165,1.5930000000000002
576,4.169,1.483
577,4.175,1.4680000000000002
578,4.181,1.455
579,4.19,1.527
580,4.194,1.679
581,4.2,1.484
582,4.206,1.4269999999999998
583,4.215,1.5819999999999999
584,4.218,1.726
585,4.225,1.4769999999999999
586,4.23,1.5630000000000002
587,4.239,1.71
588,4.243,1.8159999999999998
589,4.25,1.51
590,4.255,1.671
591,4.263999999999999,1.6540000000000001
592,4.2669999999999995,1.7730000000000001
593,4.275,1.507
594,4.279,1.795
595,4.289,1.5490000000000002
596,4.292,1.736
597,4.3,1.524
598,4.303999999999999,1.8030000000000002
599,4.314,1.581
600,4.317,0.7979999999999999
601,4.325,1.484
602,4.328,1.807
603,4.3389999999999995,1.446
604,4.35,1.5959999999999999
605,4.353,1.6969999999999998
606,4.364,0.392
607,4.375,1.72
608,4.377,1.621
609,4.4,1.704
610,4.402,1.4880000000000002
611,4.425,1.751
612,4.426,1.466
613,4.4430000000000005,1.507
614,4.45,1.749
615,4.4510000000000005,1.472
616,4.467,1.526
617,4.475,1.476
618,4.475,1.811
619,4.492,1.236
620,4.492,1.62
621,4.5,1.5919999999999999
622,4.5,1.5319999999999998
623,4.516,1.6909999999999998
624,4.5169999999999995,1.5219999999999998
625,4.525,1.646
626,4.541,1.751
627,4.542,1.7
628,4.55,1.551
629,4.566,1.8030000000000002
630,4.567,1.536
631,4.575,1.515
632,4.59,1.774
633,4.591,1.535
634,4.6,1.506
635,4.615,1.819
636,4.6160000000000005,1.804
637,4.625,1.5030000000000001
638,4.638999999999999,1.889
639,4.641,1.6880000000000002
640,4.65,1.483
641,4.664,1.765
642,4.666,1.775
643,4.675,1.505
644,4.688,1.501
645,4.691,1.761
646,4.7,1.261
647,4.7,0.063
648,4.713,1.5030000000000001
649,4.716,1.81
650,4.716,1.679
651,4.725,1.58
652,4.737,1.5090000000000001
653,4.74,1.585
654,4.7410000000000005,1.818
655,4.749,1.4869999999999999
656,4.762,1.5119999999999998
657,4.766,1.795
658,4.766,1.504
659,4.774,1.455
660,4.7860000000000005,1.619
661,4.79,1.464
662,4.79,1.761
663,4.798,1.4780000000000002
664,4.811,0.523
665,4.815,1.693
666,4.816,1.462
667,4.823,1.469
668,4.84,1.834
669,4.841,1.466
670,4.848,1.474
671,4.865,1.453
672,4.865,1.0270000000000001
673,4.872,1.4880000000000002
674,4.891,1.4509999999999998
675,4.897,1.4980000000000002
676,4.915,1.443
677,4.921,1.486
678,4.934,1.8090000000000002
679,4.941,1.463
680,4.946000000000001,1.51
681,4.959,1.635
682,4.966,1.482
683,4.97,1.52
684,4.984,1.619
685,4.99,1.6219999999999999
686,4.99,1.482
687,4.995,1.575
688,5.008,1.554
689,5.015,1.632
690,5.016,1.494
691,5.02,1.609
692,5.033,1.557
693,5.04,1.492
694,5.04,1.643
695,5.044,1.765
696,5.0569999999999995,1.6880000000000002
697,5.064,1.673
698,5.066,1.486
699,5.069,1.729
700,5.082,1.774
701,5.0889999999999995,1.527
702,5.091,1.5
703,5.093,1.808
704,5.106,1.696
705,5.114,1.48
706,5.115,1.5019999999999998
707,5.118,1.806
708,5.131,1.714
709,5.138999999999999,1.4980000000000002
710,5.141,1.53
711,5.143,1.7519999999999998
712,5.155,1.577
713,5.164,1.5019999999999998
714,5.165,1.58
715,5.167000000000001,1.645
716,5.18,1.5619999999999998
717,5.188,1.534
718,5.191,1.564
719,5.192,1.568
720,5.204,1.591
721,5.212999999999999,1.808
722,5.216,1.534
723,5.216,1.585
724,5.229,1.547
725,5.2379999999999995,1.7890000000000001
726,5.24,1.63
727,5.2410000000000005,1.501
728,5.252999999999999,1.577
729,5.263,1.735
730,5.265,1.531
731,5.266,1.7180000000000002
732,5.278,1.744
733,5.287999999999999,1.714
734,5.29,1.525
735,5.29,1.7480000000000002
736,5.3020000000000005,0.363
737,5.313,1.758
738,5.315,1.538
739,5.316,1.7369999999999999
740,5.337999999999999,1.742
741,5.3389999999999995,1.5590000000000002
742,5.341,1.746
743,5.362,0.828
744,5.364,1.629
745,5.365,1.7890000000000001
746,5.388,1.6159999999999999
747,5.391,1.811
748,5.412999999999999,1.7180000000000002
749,5.415,1.528
750,5.425,1.6780000000000002
751,5.438,1.4509999999999998
752,5.441,1.403
753,5.449,1.704
754,5.462000000000001,1.44
755,5.466,1.4240000000000002
756,5.474,1.916
757,5.487,1.4409999999999998
758,5.4879999999999995,1.91
759,5.49,1.401
760,5.497999999999999,1.6780000000000002
761,5.511,1.4509999999999998
762,5.513,1.712
763,5.516,1.41
764,5.523,1.7919999999999998
765,5.5360000000000005,1.429
766,5.537999999999999,1.71
767,5.54,1.4480000000000002
768,5.547999999999999,1.849
769,5.56,1.465
770,5.563,1.743
771,5.566,1.4809999999999999
