,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z,Bulk density (GRA),Magnetic susceptibility (instr. units),NGR total counts (cps)
24,39.353,83.5,45.5,1.578,0.86,2.877,70.1,40.7,1.5,-1.9,11.3,11.7,13.3,1.6640000000000001,32.2,38.494
25,40.494,49.5,33.1,1.805,1.208,2.9010000000000002,58.4,32.5,1.8,-1.9,7.1,7.3,8.4,1.9380000000000002,39.0,50.659
26,41.872,78.2,43.9,1.575,0.884,2.72,67.5,43.2,1.3,-2.4,12.8,13.3,15.3,1.69,32.8,40.671
27,43.286,53.1,34.7,1.7519999999999998,1.145,2.8139999999999996,59.3,37.1,0.8,0.0,9.2,9.6,10.3,1.8419999999999999,29.2,48.271
28,44.756,69.9,41.1,1.636,0.963,2.813,65.8,43.8,1.4,-2.3,13.2,13.7,15.7,1.724,37.4,45.201
29,46.316,51.0,33.8,1.794,1.189,2.911,59.2,40.6,0.7,-0.4,11.1,11.6,12.6,1.86,32.8,32.562
30,47.777,86.8,46.5,1.538,0.8240000000000001,2.7260000000000004,69.8,42.5,1.8,-1.8,12.4,12.8,14.5,1.607,43.0,43.324
31,49.218999999999994,55.9,35.9,1.7480000000000002,1.121,2.891,61.2,34.8,1.2,0.1,8.1,8.4,9.0,1.7480000000000002,42.0,47.224
32,50.223,72.1,41.9,1.636,0.951,2.873,66.9,37.1,0.8,-0.3,9.2,9.6,10.4,1.7480000000000002,42.8,51.718999999999994
33,50.94,143.2,58.9,1.3880000000000001,0.5710000000000001,2.826,79.8,36.0,-0.3,0.8,8.5,9.0,9.4,1.729,35.6,32.563
34,52.97,65.7,39.7,1.6680000000000001,1.006,2.845,64.6,35.8,1.4,-0.1,8.6,8.9,9.6,1.804,34.8,47.476000000000006
35,54.37,72.3,42.0,1.642,0.953,2.912,67.3,37.8,1.8,-1.9,9.7,10.0,11.4,1.972,42.4,48.531000000000006
36,57.36,74.2,42.6,1.588,0.912,2.6830000000000003,66.0,40.4,0.7,0.9,11.0,11.5,12.0,1.7080000000000002,47.0,44.988
37,58.11,60.1,37.5,1.73,1.081,2.9539999999999997,63.4,37.5,1.7,-1.9,9.5,9.8,11.2,1.824,29.8,49.301
38,60.75,77.1,43.5,1.5230000000000001,0.86,2.441,64.8,42.6,1.8,1.6,12.5,12.9,13.2,1.719,55.4,41.556999999999995
39,62.02,80.0,44.4,1.589,0.883,2.846,69.0,46.3,1.2,-0.8,14.9,15.5,17.0,1.714,49.8,44.706
40,63.73,57.3,36.4,1.7269999999999999,1.0979999999999999,2.846,61.4,38.6,1.1,-0.9,10.0,10.4,11.5,1.831,53.2,53.331
41,65.49,75.4,43.0,1.6019999999999999,0.9129999999999999,2.7910000000000004,67.3,42.0,1.7,-0.9,12.1,12.5,13.8,1.6840000000000002,66.0,42.288999999999994
42,66.79,69.2,40.9,1.661,0.982,2.918,66.4,43.5,0.7,-1.2,12.9,13.5,15.0,1.778,51.8,42.868
43,68.11,70.9,41.5,1.615,0.945,2.734,65.4,33.1,0.9,-2.2,7.3,7.6,8.8,1.76,63.4,51.303999999999995
44,69.2,59.5,37.3,1.6880000000000002,1.058,2.747,61.5,38.0,1.0,-2.1,9.7,10.1,11.6,2.1,36.2,52.428999999999995
45,70.4,53.6,34.9,1.758,1.145,2.852,59.9,47.6,1.5,-2.4,15.9,16.5,18.9,1.827,62.6,51.738
