,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z,Bulk density (GRA),Magnetic susceptibility (instr. units),NGR total counts (cps)
181,416.85,34.6,25.7,1.9469999999999998,1.4469999999999998,2.83,48.9,29.2,1.2,1.8,5.7,5.9,5.9,1.83,41.4,57.766000000000005
182,423.50300000000004,34.8,25.8,1.9580000000000002,1.453,2.8689999999999998,49.4,34.6,1.2,-1.2,8.0,8.3,9.3,1.912,35.2,58.438
183,426.42699999999996,29.7,22.9,2.05,1.581,2.9189999999999996,45.8,36.7,1.6,-0.9,9.1,9.4,10.4,1.8730000000000002,43.2,62.123999999999995
184,429.39,30.0,23.1,1.916,1.474,2.595,43.2,45.5,1.7,-0.7,14.4,14.9,16.3,1.935,18.0,33.744
185,433.17,32.4,24.5,1.983,1.4980000000000002,2.847,47.4,35.2,1.3,-0.8,8.3,8.6,9.5,1.889,39.6,60.748000000000005
186,470.15,30.6,23.4,2.029,1.5530000000000002,2.9,46.5,39.9,2.1,-3.8,10.9,11.2,13.5,1.7209999999999999,30.0,52.446000000000005
187,479.96,32.3,24.4,1.995,1.508,2.8739999999999997,47.5,36.4,0.7,-0.1,8.8,9.2,9.9,1.885,42.8,62.257
188,482.153,31.6,24.0,2.0180000000000002,1.5330000000000001,2.911,47.3,41.7,1.0,-1.0,11.8,12.3,13.6,1.869,45.8,58.628
189,484.94599999999997,34.3,25.5,1.935,1.4409999999999998,2.786,48.3,32.3,0.7,1.2,6.9,7.2,7.4,1.9469999999999998,56.4,53.108999999999995
190,487.466,37.5,27.3,1.9380000000000002,1.409,2.911,51.6,38.0,1.8,-0.2,9.8,10.1,10.9,1.945,64.6,59.621
191,488.51,40.3,28.7,1.815,1.294,2.636,50.9,48.0,0.4,2.2,16.0,16.8,17.0,1.555,101.0,38.496
192,488.73,48.4,32.6,1.8319999999999999,1.234,2.9619999999999997,58.3,38.6,0.3,2.8,9.9,10.4,10.2,1.86,82.0,46.051
193,499.4,123.8,55.3,1.433,0.64,2.833,77.4,27.0,-0.5,5.7,4.8,5.1,4.3,1.28,55.0,19.347
194,546.62,40.4,28.8,1.906,1.357,2.9210000000000003,53.5,34.6,1.2,5.6,8.0,8.3,7.3,1.785,62.0,55.393
195,549.4,66.1,39.8,1.6119999999999999,0.971,2.597,62.6,31.1,-0.6,1.9,6.3,6.7,6.7,1.6269999999999998,65.0,47.196000000000005
196,552.86,33.3,25.0,1.82,1.365,2.455,44.4,47.8,1.5,1.1,16.0,16.6,17.3,1.7890000000000001,43.0,25.961
197,556.25,82.1,45.1,1.577,0.866,2.833,69.4,27.6,0.9,0.9,5.1,5.3,5.5,1.42,100.8,24.462
198,603.67,53.7,35.0,1.7009999999999998,1.1059999999999999,2.639,58.1,34.8,0.3,-2.1,8.0,8.4,9.7,1.419,143.0,18.737000000000002
199,604.54,40.9,29.0,1.839,1.305,2.7239999999999998,52.1,30.2,1.4,-2.4,6.1,6.3,7.4,1.465,160.4,10.837
200,613.83,33.4,25.0,1.896,1.421,2.648,46.3,37.5,0.1,0.1,9.3,9.8,10.5,1.6840000000000002,166.6,46.596000000000004
201,614.23,32.4,24.5,1.901,1.436,2.633,45.5,38.4,1.1,0.2,9.9,10.3,11.0,1.6880000000000002,228.8,42.636
202,615.65,41.6,29.4,1.784,1.26,2.5810000000000004,51.2,39.2,1.2,0.3,10.4,10.8,11.5,1.574,203.2,44.523
203,617.15,36.7,26.9,1.91,1.3969999999999998,2.8,50.1,33.8,1.0,4.6,7.6,7.9,7.2,1.661,133.8,49.089
204,618.08,55.5,35.7,1.679,1.079,2.6039999999999996,58.5,30.6,0.4,2.7,6.2,6.5,6.3,1.4609999999999999,80.0,21.583000000000002
205,623.61,50.7,33.6,1.703,1.13,2.5639999999999996,55.9,17.5,0.5,1.4,2.3,2.4,2.4,1.4569999999999999,148.2,19.035999999999998
206,625.86,49.6,33.2,1.7309999999999999,1.157,2.634,56.1,16.0,0.2,-1.9,2.0,2.1,2.5,1.4880000000000002,171.2,19.009
207,628.22,52.3,34.4,1.679,1.102,2.523,56.3,23.0,1.5,2.7,3.7,3.8,3.6,1.4569999999999999,182.2,18.666
208,643.23,42.9,30.0,1.7069999999999999,1.194,2.391,50.1,39.4,2.0,5.8,10.6,10.9,9.7,1.595,98.0,43.583999999999996
209,643.47,41.0,29.1,1.827,1.296,2.694,51.9,37.1,0.8,1.2,9.2,9.6,9.9,1.659,133.0,38.601
210,644.66,50.7,33.7,1.6969999999999998,1.126,2.545,55.8,17.0,0.4,-2.4,2.2,2.3,2.8,1.551,114.4,17.6
211,652.1,35.0,25.9,1.83,1.355,2.526,46.4,36.4,-0.2,0.5,8.7,9.2,9.7,1.5959999999999999,177.2,25.612
212,655.07,48.0,32.4,1.72,1.162,2.553,54.5,34.0,-0.8,1.7,7.5,8.0,8.1,1.4969999999999999,196.2,19.011
213,657.13,41.5,29.3,1.788,1.263,2.591,51.2,30.2,0.3,-0.5,6.0,6.3,6.9,1.6280000000000001,363.0,25.005
214,659.1,26.6,21.0,1.886,1.49,2.4290000000000003,38.6,39.4,1.3,-1.1,10.5,10.9,12.1,1.706,229.8,24.938000000000002
215,659.47,41.0,29.1,1.8119999999999998,1.285,2.645,51.4,13.2,-0.5,-0.8,1.5,1.6,1.8,1.5930000000000002,419.6,21.413
216,660.18,26.8,21.2,1.8530000000000002,1.4609999999999999,2.367,38.3,41.2,1.6,-2.5,11.6,12.0,13.9,1.7169999999999999,239.2,21.386
217,660.25,64.4,39.2,1.639,0.997,2.675,62.7,34.2,0.2,1.3,7.7,8.1,8.3,1.4969999999999999,92.6,21.386
218,682.02,41.6,29.4,1.719,1.214,2.398,49.4,16.5,0.3,0.5,2.1,2.2,2.3,1.618,86.6,33.303000000000004
219,682.39,45.6,31.3,1.696,1.165,2.418,51.8,13.8,-0.3,-3.3,1.6,1.7,2.2,1.568,98.8,16.539
220,682.81,46.7,31.8,1.672,1.14,2.372,51.9,37.3,0.8,2.5,9.3,9.7,9.6,1.575,34.0,43.088
221,683.45,50.4,33.5,1.7,1.13,2.5469999999999997,55.6,29.4,0.1,-0.2,5.7,6.0,6.5,1.469,41.8,27.682
222,683.88,52.9,34.6,1.696,1.109,2.597,57.3,32.5,-0.2,0.9,6.9,7.3,7.6,1.5590000000000002,56.0,36.092
223,685.04,43.1,30.1,1.71,1.195,2.403,50.3,31.1,-0.6,-1.5,6.3,6.7,7.6,1.6119999999999999,90.0,21.298000000000002
224,685.18,48.0,32.5,1.6909999999999998,1.1420000000000001,2.4619999999999997,53.6,33.4,-1.0,2.4,7.2,7.7,7.6,1.541,40.2,23.574
225,691.735,42.1,29.6,1.7109999999999999,1.204,2.384,49.5,25.3,-0.9,0.7,4.2,4.5,4.7,1.615,95.6,18.579
226,692.898,39.8,28.5,1.7480000000000002,1.25,2.432,48.6,20.0,1.0,-1.1,2.9,3.0,3.4,1.6280000000000001,116.0,18.78
227,693.738,38.1,27.6,1.79,1.296,2.504,48.2,23.0,-0.1,-1.2,3.6,3.8,4.3,1.6230000000000002,182.6,19.548
228,694.3739999999999,41.0,29.1,1.7719999999999998,1.2570000000000001,2.529,50.3,23.7,-1.4,0.5,3.7,4.0,4.2,1.588,85.6,16.922
229,694.513,41.0,29.1,1.7990000000000002,1.276,2.6069999999999998,51.1,15.5,2.4,-2.0,2.0,2.0,2.4,1.6380000000000001,90.0,17.435
230,695.574,35.8,26.4,1.805,1.329,2.484,46.5,24.6,0.3,1.1,4.1,4.3,4.4,1.641,147.6,21.489
231,695.925,40.1,28.6,1.758,1.254,2.467,49.2,24.3,0.2,-1.0,4.0,4.2,4.7,1.599,104.4,19.436
232,697.1619999999999,29.9,23.0,1.8559999999999999,1.4280000000000002,2.452,41.8,22.7,-0.1,-0.2,3.5,3.7,4.0,1.713,477.0,26.445
233,698.408,45.2,31.1,1.722,1.186,2.489,52.4,35.8,0.5,1.4,8.5,8.9,9.1,1.5319999999999998,118.8,34.711999999999996
234,699.432,42.4,29.8,1.704,1.197,2.371,49.5,16.5,0.3,-1.1,2.1,2.2,2.5,1.5319999999999998,259.0,25.336
235,700.087,41.1,29.1,1.724,1.222,2.399,49.1,17.9,0.6,-0.1,2.4,2.5,2.7,1.548,312.2,25.686999999999998
236,703.34,32.2,24.4,1.87,1.4140000000000001,2.55,44.5,27.6,0.9,-0.9,5.1,5.3,5.9,1.617,471.4,22.866
237,703.95,29.8,23.0,1.893,1.4580000000000002,2.535,42.5,31.1,1.5,-0.4,6.5,6.7,7.3,1.6440000000000001,508.0,23.861
238,706.35,33.5,25.1,1.817,1.361,2.454,44.5,21.2,-0.5,0.9,3.1,3.3,3.4,1.635,684.2,28.511999999999997
239,709.29,38.1,27.6,1.757,1.272,2.416,47.4,17.0,0.4,1.3,2.2,2.3,2.3,1.545,458.6,26.088
240,710.97,38.2,27.7,1.7890000000000001,1.294,2.504,48.3,15.0,2.4,0.4,1.9,1.9,2.0,1.555,589.4,29.693
241,713.78,37.0,27.0,1.7819999999999998,1.3,2.455,47.0,26.2,0.6,0.3,4.6,4.8,5.1,1.601,92.4,16.656
242,721.03,35.8,26.3,1.8,1.3259999999999998,2.469,46.3,24.6,0.3,0.6,4.1,4.3,4.5,1.62,110.8,25.191
243,721.27,36.3,26.6,1.801,1.3219999999999998,2.485,46.8,21.2,-0.5,0.9,3.1,3.3,3.4,1.5430000000000001,131.4,24.699
244,723.06,45.3,31.2,1.702,1.171,2.432,51.8,25.0,-1.0,0.1,4.1,4.4,4.7,1.489,102.8,22.749000000000002
245,724.71,37.0,27.0,1.796,1.31,2.491,47.4,34.6,-0.7,-1.9,7.8,8.3,9.5,1.589,102.0,25.427
246,725.0,35.1,26.0,1.791,1.3259999999999998,2.43,45.4,18.4,2.6,-0.1,2.6,2.6,2.8,1.653,312.8,31.789
247,729.72,38.5,27.8,1.706,1.2309999999999999,2.296,46.4,26.7,-1.9,0.3,4.6,5.0,5.3,1.581,60.8,21.389
248,729.81,24.3,19.5,1.7530000000000001,1.411,2.12,33.5,25.6,-0.9,0.7,4.3,4.6,4.8,1.574,56.4,19.237000000000002
249,730.58,45.2,31.1,1.6680000000000001,1.149,2.33,50.7,17.9,0.6,-2.9,2.4,2.5,3.1,1.5630000000000002,60.0,14.120999999999999
250,731.84,18.7,15.7,1.994,1.681,2.423,30.6,27.6,-1.6,-0.5,4.9,5.3,5.8,1.57,37.2,15.749
251,733.64,63.1,38.7,1.6119999999999999,0.9890000000000001,2.528,60.9,9.8,2.0,1.0,1.1,1.1,1.1,1.4969999999999999,35.4,11.540999999999999
252,735.14,48.7,32.8,1.6780000000000002,1.128,2.435,53.7,29.9,0.2,5.8,5.9,6.2,5.3,1.56,36.6,9.738999999999999
253,739.9,47.9,32.4,1.746,1.181,2.637,55.2,15.5,0.1,-2.0,1.9,2.0,2.4,1.5330000000000001,44.0,18.802
254,740.7,43.3,30.2,1.7469999999999999,1.22,2.516,51.5,9.8,2.0,-2.6,1.1,1.1,1.4,1.528,34.8,66.34100000000001
255,748.92,56.9,36.3,1.675,1.068,2.625,59.3,25.6,-0.9,0.2,4.3,4.6,4.9,1.7530000000000001,52.2,11.352
256,750.11,36.3,26.6,1.702,1.249,2.241,44.3,32.3,-1.3,-0.2,6.7,7.2,7.8,1.486,50.8,17.253
257,750.93,25.0,20.0,2.045,1.636,2.722,39.9,9.8,2.0,-2.6,1.1,1.1,1.4,1.848,125.0,17.595
258,751.95,52.5,34.4,1.715,1.125,2.655,57.6,21.2,-0.5,-0.9,3.1,3.3,3.7,1.51,28.4,16.143
259,752.64,38.2,27.7,1.808,1.308,2.5580000000000003,48.9,32.5,-1.2,-1.9,6.8,7.3,8.4,1.653,47.0,16.038
260,753.38,36.4,26.7,1.8130000000000002,1.33,2.52,47.2,30.4,-0.8,-1.6,6.0,6.4,7.3,1.64,75.2,16.491
261,754.06,24.5,19.7,2.004,1.609,2.6180000000000003,38.5,18.4,0.7,-2.8,2.5,2.6,3.2,1.579,40.8,12.130999999999998
262,754.76,45.4,31.2,1.7469999999999999,1.2009999999999998,2.571,53.3,32.5,-0.2,-1.6,6.9,7.3,8.3,1.568,43.2,15.132
263,755.61,35.4,26.1,1.781,1.3159999999999998,2.4130000000000003,45.5,10.6,-1.3,-2.4,1.1,1.2,1.5,1.5659999999999998,30.6,10.475999999999999
264,756.21,46.5,31.7,1.679,1.146,2.39,52.1,17.5,0.5,-1.6,2.3,2.4,2.8,1.526,45.4,10.417
265,758.64,6.6,6.2,2.28,2.1390000000000002,2.48,13.8,13.8,2.3,-2.5,1.7,1.7,2.1,1.62,54.8,8.274
266,759.45,32.7,24.6,1.942,1.463,2.747,46.7,36.9,-0.1,-1.2,9.0,9.5,10.6,1.7930000000000001,41.8,16.486
267,760.93,49.0,32.9,1.6780000000000002,1.126,2.443,53.9,11.3,-1.1,-2.2,1.2,1.3,1.6,1.546,44.4,12.847000000000001
268,761.08,51.5,34.0,1.6640000000000001,1.099,2.4530000000000003,55.2,16.5,0.3,-1.1,2.1,2.2,2.5,1.567,50.4,13.475999999999999
269,768.92,52.6,34.5,1.641,1.075,2.403,55.3,14.4,-0.2,-2.3,1.7,1.8,2.2,1.506,70.0,11.251
270,770.74,42.1,29.6,1.729,1.217,2.4330000000000003,50.0,16.5,0.3,-1.8,2.1,2.2,2.6,1.51,68.0,9.513
271,772.69,44.1,30.6,1.6969999999999998,1.178,2.391,50.7,11.3,2.1,-3.2,1.3,1.3,1.7,1.5090000000000001,63.0,10.530999999999999
272,773.25,45.9,31.5,1.653,1.133,2.302,50.8,11.3,-1.1,-1.1,1.2,1.3,1.5,1.575,84.4,9.036
273,778.69,21.9,18.0,2.063,1.692,2.653,36.2,25.3,0.5,0.7,4.3,4.5,4.7,1.8719999999999999,79.0,15.239
274,788.01,55.6,35.7,1.67,1.073,2.569,58.2,16.5,0.3,-0.3,2.1,2.2,2.4,1.591,158.0,14.974
275,790.0,41.1,29.1,1.8219999999999998,1.291,2.681,51.8,24.3,0.2,-0.5,4.0,4.2,4.6,1.537,108.2,11.925999999999998
276,790.66,14.5,12.7,2.209,1.929,2.656,27.4,36.2,0.6,-1.3,8.7,9.1,10.2,2.017,132.4,16.927
277,790.77,49.5,33.1,1.73,1.157,2.6289999999999996,56.0,22.3,-0.2,-0.8,3.4,3.6,4.0,1.6980000000000002,157.0,17.680999999999997
278,798.6039999999999,37.0,27.0,1.8130000000000002,1.324,2.537,47.8,34.4,-0.7,1.7,7.7,8.2,8.3,1.615,46.6,36.564
279,798.914,43.0,30.1,1.736,1.213,2.476,51.0,29.4,0.1,-1.0,5.7,6.0,6.7,1.5330000000000001,41.8,19.699
280,799.3389999999999,50.8,33.7,1.73,1.148,2.6630000000000003,56.9,23.7,0.1,-2.1,3.8,4.0,4.7,1.6480000000000001,54.4,24.374000000000002
281,800.1110000000001,46.5,31.7,1.7730000000000001,1.21,2.6889999999999996,55.0,25.3,-0.9,-0.3,4.2,4.5,4.9,1.5759999999999998,45.0,20.869
282,800.575,39.9,28.5,1.8130000000000002,1.296,2.6180000000000003,50.5,31.6,-1.5,-2.5,6.4,6.9,8.1,1.624,72.2,15.072000000000001
283,801.802,56.1,35.9,1.702,1.091,2.708,59.7,30.2,-0.8,0.7,5.9,6.3,6.6,1.547,71.0,23.774
284,802.198,40.6,28.9,1.788,1.271,2.5660000000000003,50.5,32.7,-0.2,-2.6,7.0,7.4,8.7,1.594,52.2,15.177999999999999
285,803.377,41.3,29.2,1.72,1.217,2.391,49.1,48.6,0.5,-3.3,16.5,17.3,20.3,1.551,44.6,18.627
286,803.908,34.4,25.6,1.808,1.3459999999999999,2.455,45.2,30.9,-0.6,-1.2,6.2,6.6,7.4,1.645,98.0,21.051
287,804.845,36.3,26.6,1.7930000000000001,1.315,2.4659999999999997,46.7,29.4,0.1,3.6,5.7,6.0,5.6,1.629,128.4,21.995
288,805.695,46.8,31.9,1.715,1.168,2.5069999999999997,53.4,27.3,0.9,3.2,5.0,5.2,4.9,1.504,58.2,16.25
289,806.072,41.4,29.3,1.768,1.25,2.528,50.5,30.6,-0.7,-0.5,6.1,6.5,7.1,1.618,98.8,17.747
290,806.8539999999999,44.7,30.9,1.7109999999999999,1.183,2.444,51.6,37.1,-1.7,1.5,8.9,9.6,9.8,1.5590000000000002,91.0,18.45
291,807.76,33.0,24.8,1.817,1.3659999999999999,2.44,44.0,32.5,-0.2,-2.6,6.9,7.3,8.6,1.665,170.0,20.482
292,808.64,55.4,35.6,1.72,1.107,2.7569999999999997,59.8,27.8,-0.3,3.2,5.1,5.4,5.1,1.54,135.0,11.431
293,809.73,40.3,28.7,1.76,1.254,2.478,49.4,23.0,-0.1,-0.7,3.6,3.8,4.2,1.577,137.0,183.355
294,810.57,42.3,29.7,1.778,1.249,2.582,51.6,24.0,-1.3,-1.0,3.8,4.1,4.6,1.5819999999999999,113.0,56.047
295,811.61,43.7,30.4,1.754,1.2209999999999999,2.545,52.0,30.2,-0.8,-0.1,5.9,6.3,6.8,1.588,96.8,15.87
296,812.66,39.5,28.3,1.805,1.294,2.5810000000000004,49.9,25.9,0.6,-2.1,4.5,4.7,5.5,1.597,105.6,17.428
297,813.53,36.3,26.6,1.805,1.325,2.494,46.9,25.6,-0.9,0.7,4.3,4.6,4.8,1.6230000000000002,94.8,21.535999999999998
298,815.36,39.5,28.3,1.797,1.2890000000000001,2.56,49.7,30.2,0.3,2.7,6.0,6.3,6.1,1.643,97.0,17.852999999999998
299,817.13,41.9,29.5,1.7480000000000002,1.2309999999999999,2.484,50.4,30.2,0.3,-0.9,6.0,6.3,7.0,1.575,151.0,21.354
300,818.26,41.6,29.4,1.732,1.2229999999999999,2.431,49.7,27.0,-0.5,0.3,4.8,5.1,5.4,1.554,99.0,22.459
301,821.03,44.2,30.7,1.725,1.196,2.476,51.7,33.4,0.0,-1.5,7.3,7.7,8.7,1.5519999999999998,95.4,19.743
302,821.2,43.8,30.5,1.735,1.206,2.4930000000000003,51.6,17.0,0.4,-1.7,2.2,2.3,2.7,1.565,101.2,18.963
303,822.45,46.7,31.8,1.725,1.176,2.536,53.6,16.5,0.3,-0.3,2.1,2.2,2.4,1.6019999999999999,104.2,19.119
304,823.66,43.3,30.2,1.742,1.216,2.504,51.4,15.0,0.0,-2.2,1.8,1.9,2.3,1.569,100.8,18.526
305,825.13,46.9,31.9,1.724,1.1740000000000002,2.537,53.7,28.6,-0.1,-0.3,5.4,5.7,6.2,1.579,96.0,17.948
306,827.22,41.5,29.4,1.754,1.239,2.491,50.3,25.9,-0.8,-1.6,4.4,4.7,5.4,1.614,102.6,19.299
307,828.02,51.7,34.1,1.7369999999999999,1.145,2.717,57.8,32.7,-0.2,-1.2,7.0,7.4,8.3,1.4609999999999999,53.2,12.264000000000001
308,829.43,48.6,32.7,1.682,1.1320000000000001,2.447,53.8,26.4,-0.6,0.8,4.6,4.9,5.1,1.526,54.2,20.916
309,830.6,41.0,29.1,1.8090000000000002,1.2830000000000001,2.638,51.4,29.7,-1.0,1.0,5.7,6.1,6.3,1.632,67.2,32.899
310,831.34,43.3,30.2,1.7480000000000002,1.219,2.519,51.6,27.0,-1.8,-1.9,4.7,5.1,5.9,1.541,44.8,14.729000000000001
311,831.79,42.1,29.6,1.795,1.263,2.6260000000000003,51.9,33.8,0.1,-3.0,7.5,7.9,9.4,1.601,56.2,12.966
312,832.45,39.4,28.3,1.83,1.3119999999999998,2.653,50.5,33.1,-1.1,-0.8,7.1,7.6,8.4,1.6,46.0,14.081
313,833.14,49.8,33.2,1.794,1.197,2.866,58.2,25.0,-1.0,-0.9,4.1,4.4,4.9,1.584,83.6,14.337
314,833.75,55.6,35.7,1.681,1.081,2.614,58.6,26.2,-0.7,-2.5,4.5,4.8,5.7,1.567,48.2,12.61
315,836.551,41.6,29.4,1.786,1.261,2.5860000000000003,51.2,25.0,0.4,0.1,4.2,4.4,4.7,1.578,56.2,14.175
316,837.768,38.3,27.7,1.797,1.2990000000000002,2.5269999999999997,48.6,22.7,-0.1,-0.2,3.5,3.7,4.0,1.584,56.0,16.803
317,838.7489999999999,38.9,28.0,1.78,1.281,2.495,48.6,27.3,-0.4,-1.4,4.9,5.2,5.9,1.585,55.4,16.383
318,839.68,45.2,31.1,1.808,1.246,2.765,55.0,30.4,-1.9,-0.1,5.9,6.4,6.9,1.584,59.4,22.241999999999997
319,840.1310000000001,40.0,28.6,1.77,1.264,2.498,49.4,20.8,-0.6,-0.4,3.0,3.2,3.5,1.6030000000000002,69.8,17.003
320,841.1610000000001,50.0,33.3,1.7309999999999999,1.1540000000000001,2.645,56.4,25.3,-0.9,-0.8,4.2,4.5,5.0,1.517,82.4,14.886
321,842.779,41.5,29.3,1.781,1.2590000000000001,2.569,51.0,22.7,-1.7,-0.7,3.4,3.7,4.1,1.546,54.6,29.814
322,843.535,47.7,32.3,1.75,1.185,2.6430000000000002,55.2,31.6,-0.5,-2.8,6.5,6.9,8.2,1.5519999999999998,58.4,14.05
323,844.977,47.2,32.1,1.757,1.194,2.653,55.0,23.7,0.1,3.9,3.8,4.0,3.6,1.557,49.8,22.805999999999997
324,846.176,32.7,24.6,1.841,1.3880000000000001,2.491,44.3,25.3,0.5,-1.8,4.3,4.5,5.2,1.67,116.6,23.074
325,847.2669999999999,39.6,28.4,1.8119999999999998,1.298,2.605,50.2,17.5,0.5,-0.9,2.3,2.4,2.7,1.6059999999999999,100.2,19.855999999999998
326,848.232,33.7,25.2,1.831,1.369,2.495,45.1,21.2,1.2,-2.1,3.2,3.3,3.9,1.618,106.0,22.666
327,849.362,51.0,33.8,1.7009999999999998,1.126,2.5639999999999996,56.1,34.6,-0.7,-2.2,7.8,8.3,9.6,1.493,53.0,21.798000000000002
328,850.568,40.2,28.7,1.79,1.2770000000000001,2.562,50.2,29.4,-2.2,0.2,5.5,6.0,6.4,1.6119999999999999,43.6,19.333
329,851.1569999999999,42.4,29.8,1.7830000000000001,1.253,2.6,51.8,29.2,-1.1,1.0,5.5,5.9,6.1,1.5919999999999999,40.6,17.922
330,852.942,47.1,32.0,1.704,1.158,2.48,53.3,40.6,-0.7,-3.6,10.9,11.6,13.9,1.514,84.0,22.344
331,854.062,31.8,24.1,1.8330000000000002,1.391,2.447,43.2,25.6,-0.9,-1.7,4.3,4.6,5.3,1.605,108.8,23.206
332,855.365,32.4,24.5,1.828,1.381,2.4530000000000003,43.7,23.3,0.0,-1.1,3.7,3.9,4.4,1.6340000000000001,51.2,18.833
333,856.26,49.1,32.9,1.75,1.1740000000000002,2.6860000000000004,56.3,25.6,-2.2,1.7,4.2,4.6,4.6,1.5830000000000002,42.6,14.706
334,857.06,33.3,25.0,1.8230000000000002,1.367,2.463,44.5,28.1,-0.2,0.0,5.2,5.5,5.9,1.6640000000000001,98.0,18.88
335,857.42,41.3,29.2,1.778,1.2590000000000001,2.556,50.7,23.7,0.1,-0.6,3.8,4.0,4.4,1.545,88.4,16.576
336,858.65,27.6,21.6,1.8940000000000001,1.484,2.4730000000000003,40.0,17.9,0.6,-1.5,2.4,2.5,2.9,1.716,88.0,18.382
337,859.94,35.0,25.9,1.821,1.348,2.502,46.1,19.6,-0.9,0.8,2.7,2.9,3.0,1.6540000000000001,121.6,18.765
338,861.09,31.4,23.9,1.8519999999999999,1.41,2.481,43.2,16.5,0.3,0.5,2.1,2.2,2.3,1.705,113.6,22.391
339,862.03,35.3,26.1,1.8159999999999998,1.3419999999999999,2.499,46.3,27.6,-1.6,-0.5,4.9,5.3,5.8,1.6580000000000001,152.8,23.379
340,863.62,45.7,31.4,1.7890000000000001,1.228,2.717,54.8,18.8,0.8,0.0,2.6,2.7,2.9,1.5930000000000002,63.4,16.044
341,865.54,25.8,20.5,1.964,1.561,2.575,39.4,25.3,-0.9,-0.8,4.2,4.5,5.0,1.683,121.4,15.626
342,866.92,41.4,29.3,1.797,1.271,2.612,51.3,21.2,-0.5,0.3,3.1,3.3,3.5,1.635,170.0,22.340999999999998
343,868.99,55.4,35.7,1.732,1.114,2.806,60.3,31.1,-0.6,0.4,6.3,6.7,7.1,1.469,146.2,16.555999999999997
344,869.56,42.8,30.0,1.807,1.266,2.685,52.9,20.8,-0.6,2.8,3.0,3.2,3.0,0.976,29.6,10.519
345,871.4,20.3,16.9,2.04,1.695,2.5540000000000003,33.6,31.8,0.6,-1.7,6.7,7.0,8.0,1.818,323.6,23.924
346,872.74,32.6,24.6,1.973,1.4880000000000002,2.8280000000000003,47.4,27.6,-1.6,-0.5,4.9,5.3,5.8,1.69,127.6,19.844
347,876.1,55.0,35.5,1.6840000000000002,1.087,2.609,58.3,33.1,-1.1,0.6,7.1,7.6,8.0,1.56,93.0,21.936999999999998
348,877.14,54.5,35.3,1.7169999999999999,1.112,2.718,59.1,28.1,-1.4,0.0,5.1,5.5,5.9,1.5730000000000002,107.0,25.369
349,878.44,57.6,36.5,1.713,1.088,2.7969999999999997,61.1,35.6,-1.3,1.4,8.2,8.8,9.0,1.489,119.0,23.776
350,880.46,51.8,34.1,1.702,1.121,2.591,56.7,37.7,-1.6,0.7,9.2,9.9,10.4,1.486,84.2,17.916
351,880.92,49.8,33.2,1.754,1.171,2.718,56.9,38.0,-0.6,6.6,9.5,10.1,8.7,1.555,135.8,24.916999999999998
352,882.27,44.2,30.6,1.72,1.193,2.459,51.5,27.8,1.0,4.1,5.2,5.4,4.9,1.528,151.4,29.294
353,916.58,1.7,1.6,2.9,2.853,2.991,4.6,31.1,1.5,0.0,6.5,6.7,7.2,2.487,168.2,2.108
354,924.18,3.8,3.7,2.74,2.639,2.929,9.9,37.5,3.3,2.2,9.7,9.8,9.8,2.322,268.0,3.2239999999999998
355,931.31,1.3,1.3,2.884,2.847,2.9530000000000003,3.6,35.2,3.1,-0.2,8.5,8.6,9.3,2.468,173.0,2.8810000000000002
356,931.76,1.7,1.7,2.843,2.7960000000000003,2.932,4.6,36.9,3.3,-0.3,9.4,9.5,10.3,2.366,285.8,2.5610000000000004
357,933.74,1.1,1.1,2.918,2.886,2.98,3.1,37.5,0.1,-3.3,9.3,9.8,11.7,2.428,522.6,3.8280000000000003
358,936.65,1.1,1.1,2.889,2.8560000000000003,2.95,3.2,37.5,-0.8,-3.3,9.2,9.8,11.7,2.487,597.0,4.031000000000001
359,938.68,1.1,1.1,2.891,2.86,2.951,3.1,33.6,1.0,-1.1,7.5,7.8,8.7,2.549,470.4,1.6119999999999999
360,943.85,1.5,1.5,2.918,2.875,3.0010000000000003,4.2,37.3,3.3,-0.2,9.6,9.7,10.5,2.508,338.0,2.44
361,945.952,1.4,1.4,2.885,2.844,2.9610000000000003,4.0,35.8,1.4,-2.0,8.6,8.9,10.2,2.5469999999999997,395.0,2.898
362,972.95,1.7,1.7,2.784,2.736,2.8689999999999998,4.6,41.5,0.9,-3.4,11.7,12.2,14.5,2.501,258.8,2.6430000000000002
363,982.7,1.2,1.2,2.861,2.8280000000000003,2.923,3.2,38.2,1.0,-0.4,9.8,10.2,11.1,2.475,854.4,2.253
364,984.93,1.0,1.0,2.8710000000000004,2.842,2.924,2.8,39.2,1.2,-0.6,10.4,10.8,11.8,2.4859999999999998,565.2,2.444
365,991.73,1.8,1.8,2.866,2.8160000000000003,2.9610000000000003,4.9,45.4,2.9,2.2,14.5,14.8,14.9,2.542,466.0,5.722
366,994.46,5.1,4.8,2.6660000000000004,2.5380000000000003,2.903,12.6,42.0,2.4,1.1,12.2,12.5,13.0,2.467,264.2,1.911
367,1001.35,1.5,1.5,2.8710000000000004,2.8280000000000003,2.951,4.2,39.1,2.0,-2.4,10.4,10.7,12.4,2.4730000000000003,821.8,2.7889999999999997
