,Depth CSF-B (m),Magnetic susceptibility (instr. units)
611,4.426,22.0
612,4.4430000000000005,20.8
613,4.45,21.4
614,4.4510000000000005,22.0
615,4.467,23.8
616,4.475,21.4
617,4.475,20.4
618,4.492,28.2
619,4.492,27.6
620,4.5,19.0
621,4.5,18.2
622,4.516,31.4
623,4.5169999999999995,30.0
624,4.525,19.0
625,4.541,33.8
626,4.541,32.2
627,4.55,19.8
628,4.565,32.4
629,4.566,28.0
630,4.575,22.4
631,4.59,30.6
632,4.591,25.6
633,4.6,25.8
634,4.615,29.8
635,4.6160000000000005,28.0
636,4.625,29.2
637,4.638999999999999,30.2
638,4.641,29.0
639,4.65,29.2
640,4.664,28.6
641,4.666,28.8
642,4.675,20.8
643,4.688,23.8
644,4.691,29.8
645,4.7,16.6
646,4.7,12.4
647,4.713,19.6
648,4.716,31.0
649,4.716,16.0
650,4.725,34.8
651,4.737,18.0
652,4.74,19.0
653,4.7410000000000005,32.2
654,4.749,33.0
655,4.762,17.8
656,4.765,33.0
657,4.766,20.8
658,4.774,23.2
659,4.7860000000000005,19.2
660,4.79,22.0
661,4.79,32.2
662,4.798,19.6
663,4.811,23.0
664,4.815,32.4
665,4.816,25.0
666,4.823,19.2
667,4.84,33.6
668,4.841,27.6
669,4.848,21.0
670,4.865,29.0
671,4.865,29.2
672,4.872,22.0
673,4.891,30.6
674,4.897,22.0
675,4.915,31.6
676,4.921,23.8
677,4.934,45.8
678,4.941,33.2
679,4.946000000000001,24.4
680,4.959,70.0
681,4.966,33.8
682,4.97,25.0
683,4.9830000000000005,62.4
684,4.99,28.4
685,4.99,34.4
686,4.995,25.6
687,5.008,48.0
688,5.013999999999999,30.4
689,5.016,35.8
690,5.02,26.0
691,5.032,37.8
692,5.039,30.8
693,5.04,35.2
694,5.044,25.8
695,5.0569999999999995,32.6
696,5.064,32.0
697,5.066,33.4
698,5.069,25.0
699,5.082,29.2
700,5.0889999999999995,38.0
701,5.091,34.0
702,5.093,24.0
703,5.106,27.4
704,5.114,42.8
705,5.115,35.4
706,5.118,23.2
707,5.131,28.0
708,5.138999999999999,40.2
709,5.141,38.0
710,5.143,21.2
711,5.155,30.4
712,5.164,35.4
713,5.165,39.8
714,5.167000000000001,17.0
715,5.18,29.2
716,5.188,33.2
717,5.191,38.8
718,5.192,14.6
719,5.204,27.8
720,5.212999999999999,33.4
721,5.216,14.4
722,5.216,39.0
723,5.229,25.6
724,5.2379999999999995,32.6
725,5.24,37.0
726,5.2410000000000005,17.4
727,5.252999999999999,26.0
728,5.263,29.6
729,5.265,21.6
730,5.266,34.0
731,5.278,26.8
732,5.287999999999999,27.6
733,5.29,23.6
734,5.29,31.0
735,5.3020000000000005,22.0
736,5.313,27.2
737,5.315,23.0
738,5.316,28.0
739,5.337000000000001,25.2
740,5.3389999999999995,23.2
741,5.341,27.0
742,5.362,20.4
743,5.364,20.8
744,5.365,26.8
745,5.388,18.2
746,5.391,26.6
747,5.412999999999999,18.6
748,5.415,25.0
749,5.425,26.4
750,5.438,22.0
751,5.441,29.0
752,5.449,30.8
753,5.462000000000001,24.4
754,5.466,46.6
755,5.474,35.4
756,5.487,25.0
757,5.4879999999999995,22.8
758,5.49,60.2
759,5.497999999999999,37.6
760,5.511,25.2
761,5.513,24.0
762,5.516,65.0
763,5.523,36.0
764,5.5360000000000005,28.0
765,5.537999999999999,23.2
766,5.54,75.8
767,5.547999999999999,34.8
768,5.56,30.8
769,5.563,23.2
770,5.566,81.0
771,5.572,32.8
772,5.585,33.4
773,5.587000000000001,22.6
774,5.591,70.6
775,5.597,29.4
776,5.61,34.8
777,5.612,22.6
778,5.615,71.0
779,5.621,29.2
780,5.6339999999999995,34.4
781,5.6370000000000005,23.0
782,5.641,75.6
783,5.646,30.0
784,5.659,34.2
785,5.662000000000001,25.0
786,5.665,60.8
787,5.67,30.8
788,5.683,36.8
789,5.687,27.0
790,5.69,54.0
791,5.695,33.4
792,5.707999999999999,37.2
793,5.711,28.6
794,5.715,45.0
795,5.72,40.2
796,5.732,34.4
797,5.736000000000001,30.2
798,5.74,34.8
799,5.744,46.0
800,5.757000000000001,32.8
801,5.761,28.8
802,5.765,31.0
803,5.769,37.4
804,5.782,30.6
805,5.7860000000000005,25.4
806,5.79,37.2
807,5.792999999999999,25.6
808,5.806,33.0
809,5.811,22.2
