,Depth CSF-B (m),Magnetic susceptibility (instr. units)
8036,173.037,41.8
8037,173.062,44.6
8038,173.08700000000002,43.0
8039,173.112,39.6
8040,173.137,37.8
8041,173.162,37.2
8042,173.187,36.8
8043,173.40400000000002,41.0
8044,173.429,53.4
8045,173.454,58.6
8046,173.479,58.0
8047,173.50400000000002,52.8
8048,173.52900000000002,47.0
8049,173.554,44.0
8050,173.579,41.8
8051,173.604,40.8
8052,173.62900000000002,39.2
8053,173.65400000000002,38.6
8054,173.679,38.8
8055,173.704,39.0
8056,173.729,39.4
8057,173.75400000000002,40.4
8058,173.77900000000002,41.4
8059,173.804,43.0
8060,173.829,47.0
8061,173.854,47.8
8062,173.87900000000002,48.0
8063,173.90400000000002,48.0
8064,173.929,48.8
8065,173.954,45.8
8066,173.979,42.0
8067,174.00400000000002,39.8
8068,174.02900000000002,35.2
8069,174.054,32.6
8070,174.079,32.0
8071,174.104,30.8
8072,174.12900000000002,31.6
8073,174.15400000000002,32.2
8074,174.179,32.8
8075,174.204,34.0
8076,174.229,36.0
8077,174.25400000000002,37.6
8078,174.27900000000002,39.6
8079,174.304,35.6
8080,174.329,31.6
8081,174.354,30.0
8082,174.37900000000002,30.2
8083,174.40400000000002,32.0
8084,174.429,33.0
8085,174.454,32.6
8086,174.479,31.0
8087,174.50400000000002,31.4
8088,174.52900000000002,32.4
8089,174.554,34.0
8090,174.579,44.0
8091,174.604,47.0
8092,174.62900000000002,43.4
8093,174.65400000000002,38.8
8094,174.679,37.4
8095,174.704,37.4
8096,174.729,37.0
8097,174.75400000000002,40.0
8098,174.77900000000002,43.8
8099,174.804,42.8
8100,174.829,40.0
8101,174.854,36.6
8102,174.87900000000002,33.0
8103,174.918,29.6
8104,174.942,31.2
8105,174.968,31.4
8106,174.993,31.4
8107,175.018,32.6
8108,175.043,35.0
8109,175.067,37.0
8110,175.093,36.0
8111,175.118,34.2
8112,175.143,32.0
8113,175.168,30.6
8114,175.192,31.2
8115,175.218,32.2
8116,175.243,32.2
8117,175.268,32.6
8118,175.293,31.8
8119,175.317,31.0
8120,175.343,31.0
8121,175.368,32.4
8122,175.393,33.0
8123,175.418,33.2
8124,175.442,33.4
8125,175.468,37.0
8126,175.493,40.0
8127,175.518,43.8
8128,175.543,42.8
8129,175.567,45.8
8130,175.593,44.0
8131,175.618,44.6
8132,175.643,43.8
8133,175.668,42.6
8134,175.692,42.0
8135,175.718,41.6
8136,175.743,41.4
8137,175.768,41.4
8138,175.793,43.6
8139,175.817,44.0
8140,175.843,43.4
8141,175.86700000000002,43.8
8142,175.892,44.8
8143,175.917,46.2
8144,175.942,50.8
8145,175.967,60.6
8146,175.99200000000002,61.0
8147,176.017,47.8
8148,176.042,43.0
8149,176.067,40.2
8150,176.092,37.2
8151,176.11700000000002,35.4
8152,176.142,35.0
8153,176.167,34.6
8154,176.192,35.0
8155,176.217,35.6
8156,176.24200000000002,35.0
8157,176.267,34.8
8158,176.292,35.2
8159,176.317,36.6
8160,176.342,37.2
8161,176.36700000000002,37.2
8162,176.392,34.8
8163,176.40599999999998,32.6
8164,176.43099999999998,33.2
8165,176.456,36.0
8166,176.481,36.4
8167,176.50599999999997,36.0
8168,176.53099999999998,36.4
8169,176.55599999999998,37.0
8170,176.581,41.0
8171,176.606,40.6
8172,176.63099999999997,37.4
8173,176.65599999999998,40.4
8174,176.68099999999998,42.2
8175,176.706,45.2
8176,176.731,50.4
8177,176.75599999999997,52.0
8178,176.78099999999998,48.0
8179,176.80599999999998,44.8
8180,176.831,43.6
8181,176.856,43.6
8182,176.88099999999997,44.8
8183,176.90599999999998,46.2
8184,176.93099999999998,50.2
8185,176.956,60.2
8186,176.981,66.2
8187,177.00599999999997,58.2
8188,177.03099999999998,51.6
8189,177.05599999999998,47.0
8190,177.081,46.0
8191,177.106,46.0
8192,177.13099999999997,47.6
8193,177.15599999999998,53.0
8194,177.18099999999998,59.4
8195,177.206,60.8
8196,177.231,56.4
8197,177.25599999999997,50.4
8198,177.28099999999998,47.6
8199,177.30599999999998,45.2
8200,177.331,44.2
8201,177.356,44.0
8202,177.38099999999997,44.2
8203,177.40599999999998,45.0
8204,177.43099999999998,44.4
8205,177.456,44.0
8206,177.481,45.0
8207,177.50599999999997,44.2
8208,177.53099999999998,42.0
8209,177.55599999999998,39.2
8210,177.581,30.0
8211,178.5,22.0
8212,178.524,35.0
8213,178.549,32.2
8214,178.57299999999998,32.4
8215,178.597,45.4
8216,178.622,50.2
8217,178.646,51.2
8218,178.671,49.0
8219,178.695,47.2
8220,178.71900000000002,49.6
8221,178.74400000000003,50.4
8222,178.768,47.0
8223,178.792,43.0
8224,178.817,40.4
8225,178.84099999999998,37.8
8226,178.865,36.4
8227,178.89,37.0
8228,178.91400000000002,38.6
8229,178.93900000000002,39.6
8230,178.963,38.4
8231,178.987,38.8
8232,179.012,38.4
8233,179.03599999999997,38.6
8234,179.06,38.2
8235,179.085,39.0
8236,179.109,38.0
8237,179.13400000000001,38.0
8238,179.158,39.6
8239,179.18200000000002,39.4
8240,179.207,39.4
8241,179.231,39.6
8242,179.255,40.8
8243,179.28,39.8
8244,179.304,38.4
8245,179.328,37.4
8246,179.35299999999998,37.4
8247,179.377,40.2
8248,179.40200000000002,45.0
8249,179.426,47.0
8250,179.45,45.4
8251,179.475,41.2
8252,179.49900000000002,37.0
8253,179.523,32.6
8254,179.548,31.0
8255,179.572,32.8
8256,179.59599999999998,37.6
8257,179.62099999999998,43.6
8258,179.645,49.2
8259,179.67,47.8
8260,179.69400000000002,47.8
8261,179.718,46.4
8262,179.743,45.2
8263,179.767,43.8
8264,179.791,43.6
8265,179.81599999999997,40.6
8266,179.84,34.2
8267,179.864,30.6
8268,179.889,30.2
8269,179.91299999999998,36.0
8270,179.938,41.6
8271,179.96200000000002,41.0
8272,179.97799999999998,40.4
8273,180.002,40.6
8274,180.02599999999998,38.8
8275,180.051,37.6
8276,180.075,37.4
8277,180.09900000000002,38.0
8278,180.12400000000002,37.4
8279,180.148,36.4
8280,180.173,34.6
8281,180.197,33.6
8282,180.22099999999998,33.2
8283,180.24599999999998,33.8
8284,180.27,34.0
8285,180.294,33.0
8286,180.31900000000002,32.6
8287,180.343,32.4
8288,180.36700000000002,33.0
8289,180.392,33.2
8290,180.416,33.2
8291,180.44099999999997,32.6
8292,180.465,33.0
8293,180.489,33.6
8294,180.514,33.8
8295,180.53799999999998,33.6
8296,180.562,33.2
8297,180.58700000000002,32.8
8298,180.611,33.6
8299,180.635,34.0
8300,180.66,34.8
8301,180.68400000000003,33.0
8302,180.709,32.6
8303,180.733,32.8
8304,180.757,33.6
8305,180.782,33.6
8306,180.80599999999998,33.4
8307,180.83,34.0
8308,180.855,34.6
8309,180.87900000000002,34.8
8310,180.90400000000002,34.8
8311,180.928,35.0
8312,180.952,34.2
8313,180.976,34.0
8314,181.00099999999998,32.8
8315,181.025,32.2
8316,181.05,32.2
8317,181.074,33.0
8318,181.09799999999998,34.0
8319,181.123,35.0
8320,181.14700000000002,34.2
8321,181.171,35.4
8322,181.196,37.8
8323,181.22,40.4
8324,181.24400000000003,37.6
8325,181.269,34.8
8326,181.293,34.8
8327,181.31799999999998,33.6
8328,181.342,32.4
8329,181.36599999999999,32.0
8330,181.391,32.2
8331,181.415,31.2
8332,181.42700000000002,30.0
8333,181.451,32.8
8334,181.476,33.6
8335,181.5,33.0
8336,181.524,35.0
8337,181.549,39.8
8338,181.57299999999998,48.8
8339,181.59799999999998,52.2
8340,181.622,53.6
8341,181.646,53.4
8342,181.671,53.2
8343,181.695,53.0
8344,181.71900000000002,52.0
8345,181.74400000000003,50.4
8346,181.768,49.2
8347,181.793,48.2
8348,181.817,46.4
8349,181.84099999999998,44.2
8350,181.86599999999999,39.2
8351,181.89,37.0
8352,181.91400000000002,40.6
8353,181.93900000000002,43.8
8354,181.963,43.6
8355,181.987,44.4
8356,182.012,45.4
8357,182.03599999999997,44.6
8358,182.06099999999998,42.4
8359,182.085,41.6
8360,182.109,41.8
8361,182.13400000000001,42.8
8362,182.158,46.2
8363,182.18200000000002,63.4
8364,182.207,48.0
8365,182.231,40.2
8366,182.255,38.6
8367,182.28,37.0
8368,182.304,35.0
8369,182.328,33.8
8370,182.35299999999998,34.0
8371,182.377,35.0
8372,182.40099999999998,35.8
8373,182.426,34.4
8374,182.45,31.6
8375,182.475,31.0
8376,182.49900000000002,31.8
8377,182.523,33.6
8378,182.548,34.0
8379,182.572,34.2
8380,182.59599999999998,35.0
8381,182.62099999999998,37.0
8382,182.645,42.4
8383,182.67,45.0
8384,182.69400000000002,45.2
8385,182.718,42.6
8386,182.743,36.4
8387,182.907,37.4
8388,182.93099999999998,34.2
8389,182.955,27.2
8390,182.98,25.0
8391,183.00400000000002,33.8
8392,183.028,45.8
8393,183.053,52.4
8394,183.077,53.0
8395,183.102,49.8
8396,183.12599999999998,49.2
8397,183.15,51.2
8398,183.175,53.2
8399,183.199,55.8
8400,183.22299999999998,59.0
8401,183.248,58.0
8402,183.27200000000002,56.4
8403,183.297,53.0
8404,183.321,49.2
8405,183.345,44.6
8406,183.37,41.6
8407,183.394,43.0
8408,183.418,42.0
8409,183.44299999999998,41.0
8410,183.467,40.0
8411,183.49099999999999,40.0
8412,183.516,38.4
8413,183.54,38.2
8414,183.565,35.4
8415,183.58900000000003,34.0
8416,183.613,36.6
8417,183.638,40.0
8418,183.662,39.6
8419,183.68599999999998,38.6
8420,183.71099999999998,38.4
8421,183.735,37.4
8422,183.75900000000001,36.8
8423,183.78400000000002,34.0
8424,183.808,31.4
8425,183.832,29.2
8426,183.857,28.6
8427,183.88099999999997,28.0
8428,183.90599999999998,27.8
8429,183.93,28.8
8430,183.954,29.2
8431,183.979,31.6
8432,184.003,34.4
8433,184.02700000000002,36.0
8434,184.05200000000002,36.6
8435,184.076,36.0
8436,184.1,36.0
8437,184.125,35.2
8438,184.149,36.0
8439,184.174,35.6
8440,184.19799999999998,35.6
8441,184.222,36.0
8442,184.247,36.0
8443,184.271,36.2
8444,184.295,38.2
8445,184.32,37.2
8446,184.34400000000002,33.8
8447,184.354,32.8
8448,184.378,35.4
8449,184.40200000000002,36.4
8450,184.42700000000002,36.8
8451,184.451,37.6
8452,184.476,39.2
8453,184.5,41.6
8454,184.524,42.6
8455,184.549,41.2
8456,184.57299999999998,39.8
8457,184.597,38.6
8458,184.622,37.0
8459,184.646,37.0
8460,184.671,38.0
8461,184.695,37.8
8462,184.71900000000002,38.0
8463,184.74400000000003,38.0
8464,184.768,39.6
8465,184.792,41.6
8466,184.817,43.0
8467,184.84099999999998,44.6
8468,184.865,43.6
8469,184.89,43.0
8470,184.91400000000002,43.4
8471,184.93900000000002,44.4
8472,184.963,41.2
8473,184.987,38.8
8474,185.012,38.6
8475,185.03599999999997,39.0
8476,185.06,39.0
8477,185.085,39.0
8478,185.109,39.2
8479,185.13299999999998,39.4
8480,185.158,39.6
8481,185.18200000000002,41.0
8482,185.207,41.4
8483,185.231,42.0
8484,185.255,38.8
8485,185.28,35.6
8486,185.304,34.0
8487,185.328,34.0
8488,185.35299999999998,33.8
8489,185.377,34.0
8490,185.40099999999998,34.0
8491,185.426,34.0
8492,185.45,35.0
8493,185.475,35.4
8494,185.49900000000002,35.0
8495,185.523,34.8
8496,185.548,35.6
8497,185.572,35.8
8498,185.59599999999998,36.4
8499,185.62099999999998,38.2
8500,185.645,41.2
8501,185.669,44.0
8502,185.69400000000002,46.0
8503,185.718,44.8
8504,185.743,45.0
8505,185.767,56.2
8506,185.791,78.8
8507,185.829,77.2
8508,185.85299999999998,74.0
8509,185.877,67.0
8510,185.90200000000002,57.8
8511,185.926,51.0
8512,185.951,46.4
8513,185.975,43.0
8514,185.99900000000002,39.8
8515,186.024,35.6
8516,186.048,33.2
8517,186.072,32.0
8518,186.097,32.4
8519,186.12099999999998,33.0
8520,186.145,33.0
8521,186.17,33.8
8522,186.19400000000002,33.6
8523,186.218,34.6
8524,186.243,34.6
8525,186.267,35.0
8526,186.292,36.8
8527,186.31599999999997,39.2
8528,186.34,44.8
8529,186.365,59.2
8530,186.389,68.0
8531,186.41299999999998,72.2
8532,186.438,75.0
8533,186.46200000000002,78.0
8534,186.486,69.0
8535,186.511,51.8
8536,186.535,55.2
8537,186.56,57.0
8538,186.584,52.6
8539,186.608,47.2
8540,186.63299999999998,43.4
8541,186.657,40.8
8542,186.68099999999998,40.2
8543,186.706,40.6
8544,186.73,41.8
8545,186.75400000000002,44.4
8546,186.77900000000002,47.6
8547,186.803,48.8
8548,186.827,46.0
8549,186.852,42.8
8550,186.87599999999998,40.2
8551,186.9,39.4
8552,186.925,41.0
8553,186.949,43.2
8554,186.97400000000002,50.2
8555,186.998,64.6
8556,187.02200000000002,72.4
8557,187.047,69.0
8558,187.071,64.0
8559,187.095,56.0
8560,187.12,47.2
8561,187.144,43.0
8562,187.168,41.4
8563,187.206,41.0
8564,187.23,42.0
8565,187.255,40.2
8566,187.27900000000002,40.4
8567,187.303,41.8
8568,187.327,42.4
8569,187.352,41.0
8570,187.37599999999998,40.8
8571,187.4,42.2
8572,187.425,43.2
8573,187.449,43.8
8574,187.47400000000002,42.4
8575,187.498,43.0
8576,187.52200000000002,46.6
8577,187.547,49.2
8578,187.571,49.4
8579,187.595,50.8
8580,187.62,50.0
8581,187.644,49.6
8582,187.668,51.2
8583,187.69299999999998,51.2
8584,187.717,52.4
8585,187.74099999999999,55.0
8586,187.766,50.0
8587,187.79,35.8
8588,188.1,21.0
8589,188.125,40.2
8590,188.149,43.2
8591,188.174,41.0
8592,188.19799999999998,40.0
8593,188.22299999999998,40.0
8594,188.247,41.0
8595,188.27200000000002,41.8
8596,188.296,45.8
8597,188.321,49.0
8598,188.345,47.8
8599,188.37,46.0
8600,188.394,47.0
8601,188.419,65.4
8602,188.44299999999998,202.4
8603,188.468,135.6
8604,188.49200000000002,57.2
8605,188.517,46.2
8606,188.541,43.4
8607,188.56599999999997,44.4
8608,188.59,49.8
8609,188.615,52.8
8610,188.639,50.0
8611,188.66400000000002,49.8
8612,188.688,52.0
8613,188.713,50.4
8614,188.737,48.4
8615,188.762,47.4
8616,188.78599999999997,48.2
8617,188.81099999999998,54.8
8618,188.835,63.8
8619,188.86,67.0
8620,188.885,65.8
8621,188.90900000000002,63.2
8622,188.93400000000003,61.8
8623,188.958,58.6
8624,188.983,52.6
8625,189.007,48.8
8626,189.032,46.6
8627,189.05599999999998,44.8
8628,189.081,44.2
8629,189.105,43.2
8630,189.13,43.4
8631,189.15400000000002,42.8
8632,189.179,42.8
8633,189.203,42.6
8634,189.22799999999998,42.0
8635,189.252,42.0
8636,189.27700000000002,41.6
8637,189.301,41.2
8638,189.326,41.0
8639,189.35,43.4
8640,189.375,47.4
8641,189.399,49.4
8642,189.424,53.0
8643,189.44799999999998,50.8
8644,189.47299999999998,47.0
8645,189.497,43.8
8646,189.52200000000002,41.0
8647,189.546,37.4
8648,189.57299999999998,34.4
8649,189.59799999999998,34.4
8650,189.622,35.2
8651,189.64700000000002,37.6
8652,189.671,42.4
8653,189.696,45.2
8654,189.72,42.0
8655,189.745,38.8
8656,189.769,37.6
8657,189.794,37.0
8658,189.81900000000002,36.8
8659,189.843,37.0
8660,189.868,37.6
8661,189.892,38.6
8662,189.917,40.0
8663,189.94099999999997,40.4
8664,189.96599999999998,40.4
8665,189.99,40.4
8666,190.015,39.4
8667,190.03900000000002,37.2
8668,190.06400000000002,35.8
8669,190.088,34.4
8670,190.113,33.6
8671,190.137,32.6
8672,190.162,32.4
8673,190.18599999999998,33.0
8674,190.21099999999998,34.4
8675,190.235,34.6
8676,190.26,33.2
8677,190.28400000000002,32.8
8678,190.30900000000003,33.8
8679,190.333,35.2
8680,190.358,37.6
8681,190.382,40.0
8682,190.407,46.6
8683,190.43099999999998,60.0
8684,190.456,62.8
8685,190.48,59.8
8686,190.505,57.2
8687,190.52900000000002,51.6
8688,190.554,46.8
8689,190.578,43.2
8690,190.60299999999998,40.0
8691,190.627,37.4
8692,190.65200000000002,34.6
8693,190.676,36.2
8694,190.701,37.2
8695,190.725,38.4
8696,190.75,38.4
8697,190.774,38.8
8698,190.799,41.0
8699,190.824,51.6
8700,190.84799999999998,70.6
8701,190.873,74.4
8702,190.89700000000002,65.4
8703,190.922,57.0
8704,190.946,53.2
8705,190.97099999999998,48.6
8706,190.995,45.4
8707,191.02,43.8
8708,191.054,41.4
8709,191.078,42.2
8710,191.10299999999998,41.4
8711,191.127,40.0
8712,191.15200000000002,37.0
8713,191.176,33.4
8714,191.201,31.0
8715,191.225,31.6
8716,191.25,34.0
8717,191.274,35.4
8718,191.299,36.8
8719,191.32299999999998,38.0
8720,191.34799999999998,39.6
8721,191.372,40.2
8722,191.39700000000002,41.6
8723,191.421,43.0
8724,191.446,46.6
8725,191.47,47.0
8726,191.495,44.8
8727,191.519,43.0
8728,191.544,41.0
8729,191.56799999999998,39.8
8730,191.593,39.6
8731,191.61700000000002,39.4
8732,191.642,40.0
8733,191.666,39.6
8734,191.69099999999997,39.0
8735,191.71599999999998,39.2
8736,191.74,38.8
8737,191.765,38.4
8738,191.78900000000002,38.2
8739,191.81400000000002,37.6
8740,191.838,38.0
8741,191.862,38.6
8742,191.887,38.8
8743,191.91099999999997,38.6
8744,191.93599999999998,38.0
8745,191.96,38.0
8746,191.985,37.8
8747,192.01,37.8
8748,192.03400000000002,37.2
8749,192.05900000000003,37.4
8750,192.083,37.4
8751,192.108,37.8
8752,192.132,37.6
8753,192.157,37.8
8754,192.18099999999998,37.8
8755,192.206,38.2
8756,192.23,38.2
8757,192.255,38.0
8758,192.27900000000002,37.4
8759,192.304,37.4
8760,192.328,37.8
8761,192.35299999999998,36.6
8762,192.518,36.6
8763,192.543,42.2
8764,192.567,45.8
8765,192.592,47.4
8766,192.61599999999999,49.2
8767,192.641,52.8
8768,192.665,56.0
8769,192.69,57.0
8770,192.71400000000003,56.4
8771,192.739,54.4
8772,192.763,50.8
8773,192.78799999999998,47.4
8774,192.812,46.4
8775,192.83700000000002,45.8
8776,192.862,46.8
8777,192.886,49.4
8778,192.91099999999997,54.8
8779,192.935,57.4
8780,192.96,55.0
8781,192.984,46.4
8782,193.00900000000001,40.0
8783,193.033,36.4
8784,193.058,33.0
8785,193.082,30.6
8786,193.107,27.8
8787,193.13099999999997,24.6
8788,193.15599999999998,21.2
8789,193.18,18.2
8790,193.205,17.4
8791,193.229,16.6
8792,193.25400000000002,17.0
8793,193.278,17.2
8794,193.303,18.2
8795,193.327,19.0
8796,193.352,18.8
8797,193.37599999999998,19.0
8798,193.40099999999998,19.0
8799,193.425,20.0
8800,193.45,20.0
8801,193.47400000000002,19.4
8802,193.49900000000002,20.2
8803,193.523,22.2
8804,193.548,22.8
8805,193.572,22.6
8806,193.597,21.8
8807,193.62099999999998,21.6
8808,193.646,22.0
8809,193.67,23.0
8810,193.695,24.0
8811,193.71900000000002,24.4
8812,193.74400000000003,23.6
8813,193.768,22.8
8814,193.793,22.6
8815,193.817,22.0
8816,193.842,21.2
8817,193.86700000000002,19.8
8818,193.891,24.0
8819,193.916,40.8
8820,193.94,48.2
8821,193.965,47.0
8822,193.985,45.8
8823,194.00900000000001,51.8
8824,194.03400000000002,56.6
8825,194.058,58.2
8826,194.083,59.8
8827,194.107,61.4
8828,194.132,60.0
8829,194.15599999999998,56.2
8830,194.18099999999998,53.0
8831,194.205,49.2
8832,194.23,46.6
8833,194.25400000000002,45.6
8834,194.27900000000002,44.0
8835,194.303,43.0
8836,194.328,42.4
8837,194.352,42.4
8838,194.377,40.6
8839,194.40099999999998,40.6
8840,194.426,41.4
8841,194.45,42.2
8842,194.475,39.2
8843,194.49900000000002,37.0
8844,194.524,36.2
8845,194.548,34.6
8846,194.57299999999998,33.6
8847,194.597,34.8
8848,194.622,34.2
8849,194.646,34.6
8850,194.671,36.0
8851,194.695,36.0
8852,194.72,36.4
8853,194.74400000000003,36.2
8854,194.769,38.0
8855,194.793,38.0
8856,194.81799999999998,37.6
8857,194.842,38.2
8858,194.86700000000002,38.6
8859,194.891,39.6
8860,194.916,40.0
8861,194.94,40.2
8862,194.96400000000003,38.8
8863,194.989,37.2
8864,195.013,37.0
8865,195.03799999999998,36.4
8866,195.062,36.8
8867,195.08700000000002,36.8
8868,195.111,37.2
8869,195.136,36.6
8870,195.16,37.0
8871,195.185,37.6
8872,195.209,38.4
8873,195.234,38.4
8874,195.25799999999998,39.4
8875,195.283,39.0
8876,195.30700000000002,39.0
8877,195.332,40.2
8878,195.356,40.0
8879,195.38099999999997,40.0
8880,195.405,38.2
8881,195.43,38.0
8882,195.463,33.6
8883,195.487,39.4
8884,195.512,43.8
8885,195.537,57.2
8886,195.56099999999998,68.0
8887,195.58599999999998,69.0
8888,195.61,71.4
8889,195.635,68.4
8890,195.65900000000002,65.0
8891,195.68400000000003,65.4
8892,195.708,66.8
8893,195.733,66.4
8894,195.757,64.0
8895,195.782,62.2
8896,195.80599999999998,61.2
8897,195.831,63.0
8898,195.855,69.2
8899,195.88,74.8
8900,195.90400000000002,73.4
8901,195.929,74.6
8902,195.953,75.8
8903,195.97799999999998,77.2
8904,196.003,78.8
8905,196.02700000000002,78.8
8906,196.05200000000002,74.8
8907,196.076,68.0
8908,196.101,62.2
8909,196.125,55.6
8910,196.15,52.4
8911,196.174,56.2
8912,196.199,72.6
8913,196.22299999999998,89.4
8914,196.248,92.2
8915,196.27200000000002,90.0
8916,196.297,83.4
8917,196.321,75.4
8918,196.34599999999998,67.0
8919,196.37,60.4
8920,196.395,51.6
8921,196.419,43.8
8922,196.44400000000002,41.0
8923,196.468,39.8
8924,196.493,39.6
8925,196.517,40.2
8926,196.542,41.0
8927,196.567,44.6
8928,196.59099999999998,52.0
8929,196.61599999999999,60.6
8930,196.64,61.6
8931,196.665,65.6
8932,196.68900000000002,66.6
8933,196.71400000000003,62.8
8934,196.738,51.8
8935,196.75599999999997,46.0
8936,196.78,50.0
8937,196.805,54.0
8938,196.829,58.6
8939,196.854,59.2
8940,196.878,62.0
8941,196.903,58.4
8942,196.92700000000002,54.0
8943,196.952,48.8
8944,196.976,44.8
8945,197.0,38.2
8946,197.025,30.2
8947,197.049,27.2
8948,197.074,30.4
8949,197.09799999999998,34.0
8950,197.123,37.4
8951,197.14700000000002,43.8
8952,197.172,52.2
8953,197.196,57.6
8954,197.22099999999998,63.4
8955,197.245,71.0
8956,197.27,79.4
8957,197.294,80.4
8958,197.31900000000002,79.0
8959,197.343,73.8
8960,197.368,48.8
8961,197.72400000000002,9.2
8962,197.748,22.2
8963,197.77200000000002,34.0
8964,197.797,45.2
8965,197.821,52.8
8966,197.845,53.8
8967,197.86900000000003,47.6
8968,197.893,40.8
8969,197.918,36.6
8970,197.942,38.2
8971,197.96599999999998,33.8
8972,197.99,34.4
8973,198.018,50.2
8974,198.043,53.8
8975,198.067,51.8
8976,198.09099999999998,49.6
8977,198.115,47.8
8978,198.139,47.0
8979,198.16400000000002,46.4
8980,198.188,46.8
8981,198.21200000000002,46.8
8982,198.236,46.0
8983,198.261,44.8
8984,198.285,45.6
8985,198.30900000000003,46.2
8986,198.333,48.0
8987,198.357,47.8
8988,198.382,47.2
8989,198.40599999999998,44.8
8990,198.43,41.6
8991,198.454,39.0
8992,198.479,36.8
8993,198.503,36.0
8994,198.52700000000002,35.4
8995,198.551,35.6
8996,198.575,35.0
8997,198.6,37.0
8998,198.62400000000002,38.4
8999,198.648,36.8
9000,198.672,35.2
9001,198.696,33.0
9002,198.72099999999998,32.8
9003,198.745,33.0
9004,198.769,31.2
9005,198.793,34.0
9006,198.81799999999998,39.0
9007,198.842,49.0
9008,198.86599999999999,50.8
9009,198.89,47.6
9010,198.91400000000002,45.6
9011,198.93900000000002,49.6
9012,198.963,49.6
9013,198.987,49.6
9014,199.011,48.6
9015,199.035,45.0
9016,199.06,43.2
9017,199.084,41.2
9018,199.108,38.8
9019,199.132,37.2
9020,199.15599999999998,36.0
9021,199.18099999999998,36.0
9022,199.205,36.2
9023,199.229,37.4
9024,199.253,40.0
9025,199.27700000000002,40.4
9026,199.30200000000002,41.0
9027,199.326,46.2
9028,199.35,51.8
9029,199.37400000000002,51.2
9030,199.399,47.0
9031,199.423,43.0
9032,199.447,39.2
9033,199.47400000000002,35.0
9034,199.49900000000002,32.0
9035,199.523,34.0
9036,199.547,36.2
9037,199.571,36.8
9038,199.595,37.6
9039,199.62,36.0
9040,199.644,35.0
9041,199.668,35.6
9042,199.692,35.6
9043,199.71599999999998,36.0
9044,199.74099999999999,37.6
9045,199.765,39.8
9046,199.78900000000002,41.0
9047,199.813,42.0
9048,199.838,40.2
9049,199.862,44.0
9050,199.886,53.0
9051,199.91,58.6
9052,199.93400000000003,59.4
9053,199.959,56.2
9054,199.983,51.8
9055,200.007,48.2
9056,200.03099999999998,46.2
9057,200.05599999999998,43.2
9058,200.08,41.0
9059,200.104,39.2
9060,200.128,38.2
9061,200.15200000000002,38.6
9062,200.17700000000002,38.4
9063,200.201,38.8
9064,200.225,40.0
9065,200.24900000000002,42.0
9066,200.273,44.2
9067,200.298,44.6
9068,200.322,41.2
9069,200.34599999999998,37.0
9070,200.37,37.8
9071,200.395,36.2
9072,200.419,34.2
9073,200.44299999999998,34.4
9074,200.467,34.2
9075,200.49099999999999,35.2
9076,200.516,36.0
9077,200.54,37.2
9078,200.56400000000002,36.4
9079,200.588,37.6
9080,200.612,39.8
9081,200.637,49.0
9082,200.66099999999997,63.4
9083,200.685,65.2
9084,200.709,60.0
9085,200.733,55.0
9086,200.75799999999998,54.2
9087,200.782,54.8
9088,200.80599999999998,48.6
9089,200.83,42.6
9090,200.855,42.4
9091,200.87900000000002,40.6
9092,200.903,36.6
9093,200.918,33.4
9094,200.942,38.0
9095,200.96599999999998,39.4
9096,200.99,42.4
9097,201.015,53.0
9098,201.03900000000002,66.8
9099,201.063,73.2
9100,201.08700000000002,77.0
9101,201.111,79.8
9102,201.136,79.6
9103,201.16,74.6
9104,201.18400000000003,66.6
9105,201.208,59.2
9106,201.233,57.0
9107,201.257,54.6
9108,201.28099999999998,53.2
9109,201.305,50.4
9110,201.329,46.6
9111,201.354,42.4
9112,201.378,38.0
9113,201.40200000000002,36.4
9114,201.426,37.8
9115,201.45,37.2
9116,201.475,38.0
9117,201.49900000000002,40.2
9118,201.523,43.8
9119,201.547,47.0
9120,201.572,52.8
9121,201.59599999999998,61.8
9122,201.62,60.2
9123,201.644,56.6
9124,201.668,55.8
9125,201.692,50.8
9126,201.717,46.4
9127,201.74099999999999,43.0
9128,201.765,40.6
9129,201.78900000000002,40.8
9130,201.81400000000002,39.4
9131,201.838,40.6
9132,201.862,41.0
9133,201.886,41.8
9134,201.91,43.6
9135,201.935,45.2
9136,201.959,45.0
9137,201.983,43.4
9138,202.007,43.0
9139,202.03099999999998,43.2
9140,202.05599999999998,45.0
9141,202.08,46.2
9142,202.104,47.6
9143,202.128,47.2
9144,202.153,47.0
9145,202.17700000000002,44.4
9146,202.201,38.6
9147,202.372,37.4
9148,202.396,38.0
9149,202.42,31.0
9150,202.44400000000002,39.0
9151,202.46900000000002,39.4
9152,202.493,41.2
9153,202.517,43.4
9154,202.541,51.6
9155,202.56599999999997,55.0
9156,202.59,53.4
9157,202.614,49.2
9158,202.638,45.6
9159,202.662,43.6
9160,202.687,40.4
9161,202.71099999999998,36.8
9162,202.735,39.0
9163,202.75900000000001,45.8
9164,202.783,58.8
9165,202.808,70.0
9166,202.832,72.4
9167,202.856,67.8
9168,202.88,59.8
9169,202.905,54.4
9170,202.929,46.4
9171,202.953,41.8
9172,202.977,43.0
9173,203.00099999999998,42.0
9174,203.02599999999998,40.2
9175,203.05,38.8
9176,203.074,37.8
9177,203.09799999999998,37.2
9178,203.123,37.8
