"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Submethod","Moisture dry (wt%)","Moisture wet (wt%)","Bulk density (g/cm³)","Dry density (g/cm³)","Grain density (g/cm³)","Porosity (vol%)","Void ratio","Container number","Mass wet sample (g)","Mass dried sample (g)","Mass porewater (g)","Mass salt (g)","Mass solids (g)","Vol wet sample (cm³)","Vol dried sample (cm³)","Vol porewater (cm³)","Vol salt (cm³)","Vol solids (cm³)","Timestamp (UTC)","Text ID","Test No.","Sample comments"
"349","U1431","E","28","R","1","W","76.0","807.760","807.760","C","33.0","24.8","1.817","1.366","2.440","44.0","0.786","0","22.470","17.089","5.576","0.195","16.894","12.370","7.012","5.445","0.08791","6.924","2014-02-19 19:06:46","CYL5431281","57823341",""
"349","U1431","E","28","R","2","W","14.0","808.640","808.640","C","55.4","35.6","1.720","1.107","2.757","59.8","1.491","0","20.292","13.315","7.230","0.253","13.062","11.798","4.851","7.061","0.11399","4.737","2014-02-23 13:54:05","CYL5431331","58048381",""
"349","U1431","E","28","R","3","W","7.0","809.730","809.730","C","40.3","28.7","1.760","1.254","2.478","49.4","0.976","0","21.149","15.284","6.078","0.213","15.071","12.016","6.177","5.935","0.09582","6.081","2014-02-22 17:59:33","CYL5431351","57949261",""
"349","U1431","E","28","R","4","W","9.0","810.570","810.570","C","42.3","29.7","1.778","1.249","2.582","51.6","1.068","0","20.836","14.855","6.198","0.217","14.638","11.721","5.766","6.053","0.09772","5.668","2014-02-19 19:08:28","CYL5431401","57823351",""
"349","U1431","E","28","R","5","W","9.0","811.610","811.610","C","43.7","30.4","1.754","1.221","2.545","52.0","1.085","0","20.598","14.558","6.259","0.219","14.339","11.746","5.732","6.112","0.09868","5.633","2014-02-23 13:53:42","CYL5431161","58048371",""
"349","U1431","E","28","R","6","W","14.0","812.660","812.660","C","39.5","28.3","1.805","1.294","2.581","49.9","0.995","0","20.741","15.077","5.869","0.205","14.872","11.493","5.854","5.732","0.09254","5.761","2014-02-20 14:30:27","CYL5431151","57827021",""
"349","U1431","E","28","R","7","W","25.0","813.530","813.530","C","36.3","26.6","1.805","1.325","2.494","46.9","0.883","0","22.006","16.356","5.855","0.205","16.151","12.192","6.567","5.718","0.09231","6.475","2014-02-22 15:52:13","CYL5431141","57933021",""
"349","U1431","E","28","R","8","W","97.0","815.360","815.360","C","39.5","28.3","1.797","1.289","2.560","49.7","0.986","0","21.599","15.702","6.111","0.214","15.488","12.017","6.146","5.968","0.09634","6.050","2014-02-20 14:29:29","CYL5431101","57826421",""
"349","U1431","E","29","R","1","W","43.0","817.130","817.130","C","41.9","29.5","1.748","1.231","2.484","50.4","1.017","0","21.294","15.224","6.290","0.220","15.004","12.184","6.140","6.143","0.09917","6.041","2014-02-19 19:08:36","CYL5431461","57823361",""
"349","U1431","E","29","R","2","W","14.0","818.260","818.260","C","41.6","29.4","1.732","1.223","2.431","49.7","0.987","0","19.890","14.253","5.841","0.204","14.049","11.483","5.871","5.705","0.09210","5.779","2014-02-19 19:08:44","CYL5431501","57823371",""
"349","U1431","E","29","R","3","W","141.0","821.030","821.030","C","44.2","30.7","1.725","1.196","2.476","51.7","1.070","0","20.912","14.722","6.415","0.225","14.497","12.120","5.957","6.264","0.10113","5.856","2014-02-19 20:30:33","CYL5431511","57823621",""
"349","U1431","E","29","R","4","W","11.0","821.200","821.200","C","43.8","30.5","1.735","1.206","2.493","51.6","1.066","0","22.344","15.776","6.806","0.238","15.538","12.880","6.341","6.647","0.10731","6.234","2014-02-19 20:30:39","CYL5431541","57823631",""
"349","U1431","E","29","R","5","W","7.0","822.450","822.450","C","46.7","31.8","1.725","1.176","2.536","53.6","1.157","0","20.935","14.502","6.666","0.233","14.269","12.137","5.732","6.510","0.10510","5.627","2014-02-20 14:31:48","CYL5431191","57827031",""
"349","U1431","E","29","R","6","W","10.0","823.660","823.660","C","43.3","30.2","1.742","1.216","2.504","51.4","1.060","0","20.094","14.231","6.076","0.213","14.018","11.532","5.695","5.933","0.09579","5.599","2014-02-19 20:30:45","CYL5431561","57823641",""
"349","U1431","E","29","R","7","W","7.0","825.130","825.130","C","46.9","31.9","1.724","1.174","2.537","53.7","1.161","0","20.875","14.448","6.660","0.233","14.215","12.108","5.709","6.504","0.10500","5.604","2014-02-22 17:59:08","CYL5431301","57949241",""
"349","U1431","E","30","R","1","W","82.0","827.220","827.220","C","41.5","29.4","1.754","1.239","2.491","50.3","1.011","0","22.722","16.286","6.669","0.233","16.053","12.957","6.549","6.513","0.10515","6.444","2014-02-22 17:59:02","CYL5431241","57949231",""
"349","U1431","E","30","R","2","W","12.0","828.020","828.020","C","51.7","34.1","1.737","1.145","2.717","57.8","1.372","0","18.526","12.431","6.316","0.221","12.210","10.662","4.594","6.168","0.09958","4.494","2014-02-22 17:59:26","CYL5431341","57949251",""
"349","U1431","E","30","R","3","W","117.0","829.430","829.430","C","48.6","32.7","1.682","1.132","2.447","53.8","1.162","0","19.872","13.596","6.504","0.228","13.368","11.815","5.566","6.351","0.10253","5.463","2014-02-20 14:32:26","CYL5431441","57827051",""
"349","U1431","E","30","R","4","W","89.0","830.600","830.600","C","41.0","29.1","1.809","1.283","2.638","51.4","1.056","0","21.740","15.641","6.320","0.221","15.420","12.018","5.946","6.172","0.09964","5.846","2014-02-20 14:32:18","CYL5431371","57827041",""
"349","U1431","E","30","R","5","W","34.0","831.340","831.340","C","43.3","30.2","1.748","1.219","2.519","51.6","1.066","0","21.981","15.568","6.646","0.233","15.335","12.578","6.193","6.490","0.10477","6.088","2014-02-22 17:59:38","CYL5431391","57949271",""
"349","U1431","E","30","R","6","W","4.0","831.790","831.790","C","42.1","29.6","1.795","1.263","2.626","51.9","1.079","0","21.130","15.092","6.257","0.219","14.873","11.774","5.762","6.110","0.09865","5.663","2014-02-19 21:08:34","CYL5431771","57823791",""
"349","U1431","E","30","R","6","W","70.0","832.450","832.450","C","39.4","28.3","1.830","1.312","2.653","50.5","1.022","0","21.841","15.879","6.178","0.216","15.663","11.938","6.002","6.033","0.09740","5.905","2014-02-22 19:52:59","CYL5431781","57954011",""
