"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","A","1","H","7","","3.3","3.033","3.017","19.80","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","5.8","3.058","3.042","20.20","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","8.3","3.083","3.067","20.40","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","10.8","3.108","3.091","21.00","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","13.3","3.133","3.116","21.80","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","15.8","3.158","3.141","24.00","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","18.3","3.183","3.166","25.60","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","20.8","3.208","3.191","26.40","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","23.3","3.233","3.216","20.60","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","25.8","3.258","3.240","16.20","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","28.3","3.283","3.265","16.80","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","30.8","3.308","3.290","20.00","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","33.3","3.333","3.315","26.60","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","35.8","3.358","3.340","28.20","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","7","","38.3","3.383","3.365","25.20","2014-02-01 05:24:49","MS90_695","WRMSL","SECT5293011","55236891","","",""
"349","U1431","A","1","H","8","","0.1","3.501","3.482","21.40","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","2.6","3.526","3.506","24.60","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","5.1","3.551","3.531","28.40","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","7.6","3.576","3.556","28.80","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","10.1","3.601","3.581","28.00","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","12.6","3.626","3.606","26.00","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","15.1","3.651","3.631","22.00","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","17.6","3.676","3.656","21.00","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","20.1","3.701","3.681","21.00","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","22.6","3.726","3.706","20.80","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","25.0","3.750","3.730","20.80","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","27.5","3.775","3.755","21.60","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","30.0","3.800","3.780","23.60","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","32.5","3.825","3.805","25.40","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","35.0","3.850","3.830","27.20","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","8","","37.5","3.875","3.855","25.60","2014-02-01 06:00:52","MS90_695","WRMSL","SECT5293041","55238561","","",""
"349","U1431","A","1","H","9","","1.2","4.012","3.991","21.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","3.7","4.037","4.016","18.60","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","6.2","4.062","4.041","18.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","8.7","4.087","4.065","17.60","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","11.2","4.112","4.090","18.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","13.7","4.137","4.115","20.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","16.2","4.162","4.140","22.20","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","18.7","4.187","4.165","22.80","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","21.2","4.212","4.190","24.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","23.7","4.237","4.215","28.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","26.2","4.262","4.239","38.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","28.7","4.287","4.264","59.20","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","31.2","4.312","4.289","63.80","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","33.7","4.337","4.314","51.60","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","36.2","4.362","4.339","40.00","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","9","","38.7","4.387","4.364","29.80","2014-02-01 06:11:02","MS90_695","WRMSL","SECT5293071","55238911","","",""
"349","U1431","A","1","H","10","","1.6","4.516","4.492","28.20","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","4.1","4.541","4.517","30.00","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","6.6","4.566","4.541","32.20","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","9.1","4.591","4.566","28.00","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","11.6","4.616","4.591","25.60","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","14.1","4.641","4.616","28.00","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","16.6","4.666","4.641","29.00","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","19.1","4.691","4.666","28.80","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","21.6","4.716","4.691","29.80","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","24.1","4.741","4.716","31.00","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","26.6","4.766","4.741","32.20","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","29.1","4.791","4.765","33.00","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","31.6","4.816","4.790","32.20","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","34.1","4.841","4.815","32.40","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","36.6","4.866","4.840","33.60","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","10","","39.1","4.891","4.865","29.20","2014-02-01 06:15:52","MS90_695","WRMSL","SECT5293101","55238941","","",""
"349","U1431","A","1","H","11","","1.6","5.016","4.990","28.40","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","4.1","5.041","5.014","30.40","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","6.6","5.066","5.039","30.80","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","9.1","5.091","5.064","32.00","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","11.6","5.116","5.089","38.00","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","14.1","5.141","5.114","42.80","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","16.6","5.166","5.139","40.20","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","19.1","5.191","5.164","35.40","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","21.6","5.216","5.188","33.20","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","24.1","5.241","5.213","33.40","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","26.6","5.266","5.238","32.60","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","29.1","5.291","5.263","29.60","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","31.6","5.316","5.288","27.60","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","34.1","5.341","5.313","27.20","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","36.6","5.366","5.337","25.20","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","11","","39.1","5.391","5.362","20.40","2014-02-01 06:31:18","MS90_695","WRMSL","SECT5293131","55239451","","",""
"349","U1431","A","1","H","12","","1.7","5.517","5.488","22.80","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
"349","U1431","A","1","H","12","","4.2","5.542","5.513","24.00","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
"349","U1431","A","1","H","12","","6.7","5.567","5.538","23.20","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
"349","U1431","A","1","H","12","","9.2","5.592","5.563","23.20","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
"349","U1431","A","1","H","12","","11.7","5.617","5.587","22.60","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
"349","U1431","A","1","H","12","","14.2","5.642","5.612","22.60","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
"349","U1431","A","1","H","12","","16.7","5.667","5.637","23.00","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
"349","U1431","A","1","H","12","","19.2","5.692","5.662","25.00","2014-02-01 06:38:01","MS90_695","WRMSL","SECT5293161","55239791","","",""
