"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Bulk density (GRA)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","A","1","H","4","","30.7","1.807","1.797","1.289","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","33.2","1.832","1.822","1.329","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","35.7","1.857","1.847","1.25","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","38.2","1.882","1.872","1.189","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","5","","1.1","2.011","2.000","1.408","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","3.6","2.036","2.025","1.357","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","6.1","2.061","2.050","1.375","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","8.6","2.086","2.075","1.399","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","11.1","2.111","2.099","1.37","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","13.6","2.136","2.124","1.381","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","16.1","2.161","2.149","1.32","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","18.6","2.186","2.174","1.313","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","21.1","2.211","2.199","1.335","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
